"","x"
"1",102.185932504448
"2",114.699207346315
"3",77.4264094014561
"4",114.611216535781
"5",94.0684702881805
"6",151.307394358711
"7",100.252883274391
"8",55.2092041359118
"9",157.592084289307
"10",66.5133486307272
"11",108.564189734609
"12",75.9751970766324
"13",173.85027410373
"14",162.91236836754
"15",49.4392134097908
"16",97.2784828196467
"17",127.529721991756
"18",146.185665484783
"19",74.8729882890952
"20",134.404742350098
"21",129.549828666112
"22",152.586502617092
"23",151.045352982182
"24",98.2198046594163
