ix,y
1,142.5195017
2,177.5931549
3,201.3535811
4,186.1439712
5,209.1797497
6,216.8450182
7,198.311028
8,164.6964546
9,190.6039158
10,179.1201872
11,199.8870568
12,164.3833578
13,154.5392774
14,162.5413981
15,206.9908673
16,224.4765408
17,128.3187444
18,156.0291584
19,155.3496667
20,144.8624415
21,154.4344687
22,217.4781491
23,198.4705011
24,186.5775852
25,167.120247
26,94.91983807
27,171.3290378
28,150.9405568
29,168.5094463
30,208.6897236
31,175.3211652
32,207.7335782
33,188.297048
34,161.2705962
35,176.8164996
