"","x"
"1",198.185800280598
"2",185.021760952625
"3",194.303946658144
"4",201.346266082695
"5",211.174179976904
"6",170.054944728719
"7",174.745169563113
"8",187.509605872252
"9",175.065540581633
"10",211.6957243195
"11",207.859904187467
"12",187.497588077041
"13",169.735162354375
"14",168.372142788084
"15",177.539883860544
"16",221.583167059037
"17",219.545602487693
"18",207.013778196423
"19",211.311072230624
"20",232.311400291605
"21",196.641631056448
"22",192.612978703456
"23",208.660256158586
"24",192.400681389668
"25",200.877327480803
"26",206.399528060675
"27",189.277761183515
"28",206.20168577048
"29",218.017068246997
"30",229.395623783145
"31",269.764629470687
"32",279.270144700628
"33",262.695150353669
"34",259.388580819809
"35",279.299869892621
"36",256.355853441635
"37",221.129183274243
"38",229.508221176536
"39",257.80496637671
"40",244.365175332398
"41",241.988110920982
"42",203.321700062839
"43",204.49565965519
"44",204.089167641126
"45",184.996754306446
"46",155.671337232649
"47",164.431358508378
"48",169.864361351776
"49",202.26876278713
"50",202.367388717804
"51",196.786538489745
"52",186.902618393974
"53",187.590727774345
"54",165.42953304759
"55",207.635289149599
"56",194.896914016936
"57",188.342248951938
"58",174.890441214151
"59",206.37346100367
"60",184.131616527078
"61",172.92190108066
"62",179.116386950795
"63",218.528899344693
"64",203.014757317863
"65",218.466189397484
"66",236.278245459298
"67",250.613107658973
"68",265.275027744769
"69",228.768992390268
"70",216.130099911251
"71",181.075680824325
"72",197.897315461499
"73",211.534723070781
"74",204.065600747274
"75",184.159812516639
"76",191.385614059181
"77",201.384632131637
"78",190.255650368626
"79",223.190661317981
"80",216.879393670953
"81",239.09378503522
"82",228.486655144334
"83",221.424491087722
"84",196.24880212617
"85",180.421805565352
"86",164.427779329032
"87",177.940198531267
"88",216.830500154036
"89",201.275823514656
"90",203.362093830449
"91",244.557535935564
"92",242.730308595084
"93",234.531442867921
"94",230.815393256459
"95",204.866159030159
"96",220.824624657644
"97",185.870500523553
"98",221.375767150329
"99",228.06502131844
"100",238.486223266112
"101",240.024031549612
"102",217.916061995958
"103",221.516519479924
"104",209.913061224198
"105",235.22891950262
"106",256.759574963452
"107",272.258426223034
"108",269.796211761076
"109",269.368261350747
"110",249.667120938906
"111",256.57799970487
"112",266.882062170401
"113",235.544012322328
"114",240.235413933745
"115",217.77635429213
"116",215.342863921198
"117",203.01948833229
"118",209.129261998377
"119",224.883553290387
"120",214.272098442808
"121",178.766845067973
"122",180.730699795999
"123",153.936290283878
"124",120.758163803799
"125",151.630587466245
"126",135.34365299528
"127",188.202928217919
"128",169.031894011538
"129",155.949332880433
"130",138.688746242697
"131",172.105248856123
"132",168.022521817984
"133",154.037684320823
"134",205.541126715581
"135",181.594914080734
"136",165.693533724966
"137",163.548407006783
"138",168.080494319297
"139",157.237521886548
"140",163.529752679062
"141",167.290948199942
"142",134.374554773209
"143",152.349696092548
"144",142.452817880262
"145",179.573288607323
"146",159.269331343222
"147",179.994682607614
"148",220.45444153497
"149",208.8296296654
"150",185.408264554688
"151",174.113655467185
"152",172.404179031081
"153",173.160781301671
"154",166.770380437443
"155",136.843452052968
"156",123.173005079997
"157",119.186048734437
"158",166.867778207124
"159",161.15070359641
"160",172.941068403599
"161",147.562475780825
"162",187.609813550078
"163",235.519031129536
"164",234.142037860984
"165",185.932088873587
"166",209.496505460376
"167",195.233103915814
"168",174.787249973345
"169",167.796455773451
"170",182.706309220768
"171",181.376938346354
"172",216.978259720713
"173",219.194289233145
"174",225.444288278018
"175",214.578808567193
"176",238.366939715309
"177",249.162041992777
"178",187.185867650331
"179",211.985830904392
"180",221.550039687177
"181",207.109519766662
"182",228.273298437542
"183",202.15951218631
"184",201.136146429831
"185",170.125344137305
"186",162.306015657207
"187",172.87236293712
"188",181.499220559392
"189",189.631122947563
"190",182.613560771776
"191",258.811388796106
"192",277.436124395518
"193",259.197092721248
"194",271.006245224243
"195",292.301445099934
"196",251.759962532046
"197",246.09228102959
"198",228.135972933232
"199",214.617268081499
"200",227.247725070658
"201",194.405100449195
"202",197.35653083914
"203",146.432231706161
"204",158.755387520026
"205",145.635807819444
"206",108.198955829407
"207",157.242937676754
"208",144.977189374776
"209",157.034180904678
"210",114.969385715144
"211",114.767217467721
"212",128.650187141189
"213",118.12934648702
"214",125.392365395019
"215",140.029148845414
"216",118.999762967637
"217",149.442562880449
"218",161.11710631635
"219",120.396589993957
"220",144.657042575468
