"","x"
"1",130.701052996142
"2",130.227059739416
"3",131.35741106274
"4",129.123466423118
"5",131.441919861722
"6",127.407763877245
"7",129.534025279981
"8",128.902778758347
"9",129.291838797476
"10",128.409368758765
"11",130.195456967024
"12",129.672052325544
"13",130.341240641743
"14",130.843347788619
"15",130.420065671908
"16",131.098010017771
"17",130.045708177624
"18",130.248278187835
"19",130.734168012841
"20",132.202975117042
"21",130.468252473984
"22",129.740642061759
"23",130.989602119336
"24",130.398479457867
"25",128.991670904912
"26",129.545467513229
"27",130.766560807286
"28",129.828668482416
"29",131.655417940954
"30",130.189686188638
"31",130.480909304695
"32",129.577144195657
"33",131.019193942923
"34",129.996840664504
"35",130.489276024813
"36",131.252418511937
"37",129.177674358436
"38",129.120247565473
"39",130.258298921527
"40",130.246582939768
"41",129.046569389631
"42",128.815690811087
"43",127.643508484371
"44",128.287339614237
"45",129.28366814589
"46",130.244691435351
"47",130.884074505976
"48",129.981990027231
"49",132.298609475429
"50",131.391372702673
"51",130.122752984358
"52",130.385255278827
"53",127.390093829758
"54",129.121461756667
"55",129.244714453596
"56",127.872014265474
"57",127.249682444722
"58",128.591800971274
"59",128.397111896165
"60",128.319013382742
"61",130.667863263432
"62",130.578197609538
"63",129.244707787116
"64",131.782803565923
"65",129.925935606051
"66",130.049210904016
"67",129.608050411143
"68",129.398940477119
"69",129.815162671264
"70",129.570630154123
"71",129.571577470203
"72",128.327735646525
"73",130.715713925495
"74",130.352294928299
"75",131.23104283551
"76",130.98858529305
"77",131.106777081304
"78",130.911637832568
"79",129.928304589146
"80",131.013277015258
"81",129.694099132901
"82",127.885819474628
"83",128.95846944849
"84",128.168976398159
"85",130.832130495458
"86",130.096664180428
"87",130.218474762285
"88",129.473124116662
"89",130.516543812382
"90",131.218913375357
"91",128.754888208153
"92",130.259671711672
"93",130.477744407481
"94",130.32495334426
"95",130.486437953438
"96",131.193299926492
"97",130.706498426997
"98",131.198503363478
"99",130.511461916971
"100",131.615942876054
"101",130.150171275184
"102",129.9695772296
"103",129.212112101138
"104",128.868820907096
"105",130.476958441101
"106",131.604585819298
"107",131.734567118272
"108",131.040243430689
"109",131.88737881091
"110",130.719614304374
"111",131.551195457073
"112",130.801991543624
