ix,x
1,125.6157325
2,200.6468886
3,188.1990024
4,194.6439924
5,190.4337422
6,195.5207567
7,181.1709203
8,197.8727563
9,204.7417264
10,174.1053647
11,170.7979866
12,189.8874124
13,192.6878912
14,217.6920966
15,230.2501909
16,186.7595428
17,212.0776385
18,195.4338073
19,230.361592
20,171.1966882
21,194.9700036
22,186.0447804
23,213.8222821
24,193.8898155
25,193.6545118
26,212.3995878
27,223.6628699
28,211.1667685
29,221.729
30,177.607683
31,185.9634047
32,177.773955
33,201.3018124
34,220.5133537
35,182.4894971
36,198.5627528
37,175.0737763
38,177.8465384
39,160.4259882
40,176.0018448
41,177.5625162
42,166.9897389
43,173.20383
44,207.5304478
45,190.2391072
46,173.8252071
47,197.2609039
48,199.3200367
49,167.5028649
50,192.0337801
