Automobile   y      x1    x2   x3   x4   x5    x6 x7 x8     x9    x10   x11
Apollo       18.90  350   165  260  8.0  2.56  4  3  200.3  69.9  3910  1
Nova         20.00  250   105  185  8.25 2.73  1  3  196.7  72.2  3510  1
Monarch      18.25  351   143  255  8.0  3.00  2  3  199.9  74.0  3890  1
Duster       20.07  225    95  170  8.4  2.76  1  3  194.1  71.8  3365  0
Jenson_Conv  11.2   440   215  330  8.2  2.88  4  3  184.5  69    4215  1
Skyhawk      22.12  231   110  175  8.0  2.56  2  3  179.3  65.4  3020  1
Scirocco     34.70  89.7   70   81  8.2  3.90  2  4  155.7  64    1905  0
Corolla_SR-5 30.40  96.9   75   83  9.0  4.30  2  5  165.2  65    2320  0
Camaro       16.50  350   155  250  8.5  3.08  4  3  195.4  74.4  3885  1
Datsun_B210  36.50  85.3   80   83  8.5  3.89  2  4  160.6  62.2  2009  0
Capri_II     21.50  171   109  146  8.2  3.22  2  4  170.4  66.9  2655  0
Pacer        19.70  258   110  195  8.0  3.08  1  3  171.5  77    3375  1
Granada      17.80  302   129  220  8.0  3.0   2  3  199.9  74    3890  1
Eldorado     14.39  500   190  360  8.5  2.73  4  3  224.1  79.8  5290  1
Imperial     14.89  440   215  330  8.2  2.71  4  3  231.0  79.7  5185  1
Nova_LN      17.80  350   155  250  8.5  3.08  4  3  196.7  72.2  3910  1
Starfire     23.54  231   110  175  8.0  2.56  2  3  179.3  65.4  3050  1
Cordoba      21.47  360   180  290  8.4  2.45  2  3  214.2  76.3  4250  1
Trans_Am     16.59  400   185   NA  7.6  3.08  4  3  196    73    3850  1
Corolla_E-5  31.90  96.9   75   83  9.0  4.30  2  5  165.2  61.8  2275  0
Mark_IV      13.27  460   223  366  8.0  3.00  4  3  228    79.8  5430  1
Celica_GT    23.90  133.6  96  120  8.4  3.91  2  5  171.5  63.4  2535  0
Charger_SE   19.73  318   140  255  8.5  2.71  2  3  215.3  76.3  4370  1
Cougar       13.90  351   148  243  8.0  3.25  2  3  215.5  78.5  4540  1
Corvette     16.50  350   165  255  8.5  2.73  4  3  185.2  69    3660  1
