"Month","blenders"
"1967-01",153
"1967-02",159
"1967-03",138
"1967-04",142
"1967-05",145
"1967-06",154
"1967-07",160
"1967-08",144
"1967-09",152
"1967-10",155
"1967-11",146
"1967-12",158
"1968-01",164
"1968-02",153
"1968-03",165
"1968-04",147
"1968-05",150
"1968-06",161
"1968-07",158
"1968-08",161
"1968-09",147
"1968-10",137
"1968-11",139
"1968-12",137
"1969-01",155
"1969-02",135
"1969-03",189
"1969-04",163
"1969-05",140
"1969-06",160
"1969-07",155
"1969-08",137
"1969-09",136
"1969-10",158
"1969-11",145
"1969-12",163
"1970-01",140
"1970-02",150
"1970-03",161
"1970-04",161
"1970-05",141
"1970-06",140
"1970-07",147
"1970-08",152
"1970-09",183
"1970-10",144
"1970-11",159
"1970-12",153
"1971-01",143
"1971-02",136
"1971-03",171
"1971-04",160
"1971-05",141
"1971-06",161
"1971-07",159
"1971-08",140
"1971-09",155
"1971-10",159
"1971-11",145
"1971-12",140
