Cement,Slag,Fly,Water,Superplasticizer,Coarse,Fine,age,CCS
540,0,0,162,2.5,1040,676,49.8247999,130.4695983
540,0,0,162,2.5,1055,676,51.268497,156.5629604
332.5,142.5,0,228,0,932,594,20.80148456,112.0793297
332.5,142.5,0,228,0,932,594,51.0434155,121.5826577
198.6,132.4,0,192,0,978.4,825.5,22.67640374,117.8285354
266,114,0,228,0,932,670,45.79180498,119.5273007
380,95,0,228,0,932,594,57.17543838,154.0077756
380,95,0,228,0,932,594,48.70568754,141.0792797
266,114,0,228,0,932,670,57.10946039,151.0497443
475,0,0,228,0,932,594,31.36920478,139.9331484
198.6,132.4,0,192,0,978.4,825.5,42.22899721,113.1123664
198.6,132.4,0,192,0,978.4,825.5,41.90806611,128.3140642
427.5,47.5,0,228,0,932,594,43.31391418,125.7491952
190,190,0,228,0,932,670,43.31959652,126.5855259
304,76,0,228,0,932,670,20.04793365,96.8069203
380,0,0,228,0,932,670,37.64471415,118.9891561
139.6,209.4,0,192,0,1047,806.9,32.52610005,117.4626699
342,38,0,228,0,932,670,49.60057865,132.8055147
380,95,0,228,0,932,594,25.53307378,131.5204722
475,0,0,228,0,932,594,54.87111109,156.0799062
427.5,47.5,0,228,0,932,594,40.92279228,110.9056588
139.6,209.4,0,192,0,1047,806.9,43.16412238,111.3329727
139.6,209.4,0,192,0,1047,806.9,54.60792469,146.2608066
139.6,209.4,0,192,0,1047,806.9,44.69692205,125.0556971
380,0,0,228,0,932,670,39.59125705,110.4131646
380,0,0,228,0,932,670,34.99199655,116.6894192
380,95,0,228,0,932,594,47.86679273,134.6365525
342,38,0,228,0,932,670,27.66850157,161.5078527
427.5,47.5,0,228,0,932,594,53.55707157,146.6144974
475,0,0,228,0,932,594,55.30036374,153.4851823
304,76,0,228,0,932,670,44.76912687,114.6786806
266,114,0,228,0,932,670,30.09252083,131.9811955
198.6,132.4,0,192,0,978.4,825.5,27.04667384,139.3615609
475,0,0,228,0,932,594,48.19314797,119.6128047
190,190,0,228,0,932,670,41.33935907,127.9763036
237.5,237.5,0,228,0,932,594,47.52529114,127.3557136
237.5,237.5,0,228,0,932,594,48.03306741,122.65487
332.5,142.5,0,228,0,932,594,26.1389046,132.6083263
475,0,0,228,0,932,594,40.25321595,129.6036862
237.5,237.5,0,228,0,932,594,34.18878792,138.4318636
342,38,0,228,0,932,670,43.25405483,117.8503256
427.5,47.5,0,228,0,932,594,56.29735817,155.7989529
237.5,237.5,0,228,0,932,594,53.81011063,148.5833692
380,0,0,228,0,932,670,29.29139135,119.0108297
427.5,47.5,0,228,0,932,594,46.34919138,122.3059107
427.5,47.5,0,228,0,932,594,51.08522723,137.1160876
349,0,0,192,0,1047,806.9,29.61327415,137.0316658
380,95,0,228,0,932,594,45.1347088,122.2649074
237.5,237.5,0,228,0,932,594,43.72536094,124.736423
380,95,0,228,0,932,594,25.05231735,136.4375743
332.5,142.5,0,228,0,932,594,45.40006761,131.8410041
190,190,0,228,0,932,670,35.19908337,115.7168353
237.5,237.5,0,228,0,932,594,26.15647074,145.3926172
304,76,0,228,0,932,670,52.30924164,124.1161943
139.6,209.4,0,192,0,1047,806.9,23.16004614,126.4967809
198.6,132.4,0,192,0,978.4,825.5,25.77183575,139.0598742
475,0,0,228,0,932,594,23.45234433,122.7224737
198.6,132.4,0,192,0,978.4,825.5,38.46469841,130.155245
304,76,0,228,0,932,670,52.34788217,151.4091017
332.5,142.5,0,228,0,932,594,47.29869071,124.5942927
304,76,0,228,0,932,670,34.72713871,118.2208053
266,114,0,228,0,932,670,39.57370796,129.8635951
310,0,0,192,0,971,850.6,30.19462729,129.9697647
190,190,0,228,0,932,670,54.5879395,151.1028421
266,114,0,228,0,932,670,38.39470871,131.4762758
342,38,0,228,0,932,670,35.76745649,117.6813375
139.6,209.4,0,192,0,1047,806.9,50.3701964,132.622104
332.5,142.5,0,228,0,932,594,40.16531304,129.1748766
190,190,0,228,0,932,670,46.77306988,127.106541
485,0,0,146,0,1120,800,44.08685539,137.4531725
374,189.2,0,170.1,10.1,926.1,756.7,57.31290437,156.714239
313.3,262.2,0,175.5,8.6,1046.9,611.8,33.86280113,123.5913799
425,106.3,0,153.5,16.5,852.1,887.1,43.42405485,118.3486392
425,106.3,0,151.4,18.6,936,803.7,32.50056279,141.6683644
375,93.8,0,126.6,23.4,852.1,992.6,22.6965258,115.1749946
475,118.8,0,181.1,8.9,852.1,781.5,35.20297862,143.5119725
469,117.2,0,137.8,32.2,852.1,840.5,41.9894344,122.5931093
425,106.3,0,153.5,16.5,852.1,887.1,35.57293884,125.0494635
388.6,97.1,0,157.9,12.1,852.1,925.7,25.98452154,131.5150702
531.3,0,0,141.8,28.2,852.1,893.7,24.88374867,138.3668007
425,106.3,0,153.5,16.5,852.1,887.1,43.4891626,127.2491712
318.8,212.5,0,155.7,14.3,852.1,880.4,41.43967682,123.8060195
401.8,94.7,0,147.4,11.4,946.8,852.1,33.22648124,128.1236272
362.6,189,0,164.9,11.6,944.7,755.8,53.79327683,130.177167
323.7,282.8,0,183.8,10.3,942.7,659.9,57.21525637,145.5848188
379.5,151.2,0,153.9,15.9,1134.3,605,45.79628094,133.2187944
362.6,189,0,164.9,11.6,944.7,755.8,31.55993309,149.4256905
286.3,200.9,0,144.7,11.2,1004.6,803.7,58.24272704,159.2479199
362.6,189,0,164.9,11.6,944.7,755.8,33.25787059,125.4951444
439,177,0,186,11.1,884.9,707.9,52.93081518,141.2210027
389.9,189,0,145.9,22,944.7,755.8,54.1431993,133.3006538
362.6,189,0,164.9,11.6,944.7,755.8,54.19411094,147.3465221
337.9,189,0,174.9,9.5,944.7,755.8,26.08597415,136.7414202
374,189.2,0,170.1,10.1,926.1,756.7,25.86400987,150.4412628
313.3,262.2,0,175.5,8.6,1046.9,611.8,40.63675454,122.3783429
425,106.3,0,153.5,16.5,852.1,887.1,59.74361879,137.8970881
425,106.3,0,151.4,18.6,936,803.7,34.86201821,136.9740744
375,93.8,0,126.6,23.4,852.1,992.6,34.89131568,119.8015255
475,118.8,0,181.1,8.9,852.1,781.5,47.55941507,123.1289681
469,117.2,0,137.8,32.2,852.1,840.5,40.49402416,117.9510616
425,106.3,0,153.5,16.5,852.1,887.1,51.24745566,150.6068881
388.6,97.1,0,157.9,12.1,852.1,925.7,49.93727423,124.6305317
531.3,0,0,141.8,28.2,852.1,893.7,30.48994758,122.2113166
425,106.3,0,153.5,16.5,852.1,887.1,37.76263869,119.1429276
318.8,212.5,0,155.7,14.3,852.1,880.4,33.15432161,131.797288
401.8,94.7,0,147.4,11.4,946.8,852.1,55.99667317,146.6449396
362.6,189,0,164.9,11.6,944.7,755.8,25.35253046,138.4672457
323.7,282.8,0,183.8,10.3,942.7,659.9,30.69147008,131.8567969
379.5,151.2,0,153.9,15.9,1134.3,605,26.31300739,139.9303389
362.6,189,0,164.9,11.6,944.7,755.8,42.54734718,124.183114
286.3,200.9,0,144.7,11.2,1004.6,803.7,49.155454,127.8443197
362.6,189,0,164.9,11.6,944.7,755.8,27.79090724,135.6755591
