Time,Chemical concentration readings
1/1/75 0:00,17
1/1/75 2:00,16.6
1/1/75 4:00,16.3
1/1/75 6:00,16.1
1/1/75 8:00,17.1
1/1/75 10:00,16.9
1/1/75 12:00,16.8
1/1/75 14:00,17.4
1/1/75 16:00,17.1
1/1/75 18:00,17
1/1/75 20:00,16.7
1/1/75 22:00,17.4
1/2/75 0:00,17.2
1/2/75 2:00,17.4
1/2/75 4:00,17.4
1/2/75 6:00,17
1/2/75 8:00,17.3
1/2/75 10:00,17.2
1/2/75 12:00,17.4
1/2/75 14:00,16.8
1/2/75 16:00,17.1
1/2/75 18:00,17.4
1/2/75 20:00,17.4
1/2/75 22:00,17.5
1/3/75 0:00,17.4
1/3/75 2:00,17.6
1/3/75 4:00,17.4
1/3/75 6:00,17.3
1/3/75 8:00,17
1/3/75 10:00,17.8
1/3/75 12:00,17.5
1/3/75 14:00,18.1
1/3/75 16:00,17.5
1/3/75 18:00,17.4
1/3/75 20:00,17.4
1/3/75 22:00,17.1
1/4/75 0:00,17.6
1/4/75 2:00,17.7
1/4/75 4:00,17.4
1/4/75 6:00,17.8
1/4/75 8:00,17.6
1/4/75 10:00,17.5
1/4/75 12:00,16.5
1/4/75 14:00,17.8
1/4/75 16:00,17.3
1/4/75 18:00,17.3
1/4/75 20:00,17.1
1/4/75 22:00,17.4
1/5/75 0:00,16.9
1/5/75 2:00,17.3
1/5/75 4:00,17.6
1/5/75 6:00,16.9
1/5/75 8:00,16.7
1/5/75 10:00,16.8
1/5/75 12:00,16.8
1/5/75 14:00,17.2
1/5/75 16:00,16.8
1/5/75 18:00,17.6
1/5/75 20:00,17.2
1/5/75 22:00,16.6
1/6/75 0:00,17.1
1/6/75 2:00,16.9
1/6/75 4:00,16.6
1/6/75 6:00,18
1/6/75 8:00,17.2
1/6/75 10:00,17.3
1/6/75 12:00,17
1/6/75 14:00,16.9
1/6/75 16:00,17.3
1/6/75 18:00,16.8
1/6/75 20:00,17.3
1/6/75 22:00,17.4
1/7/75 0:00,17.7
1/7/75 2:00,16.8
1/7/75 4:00,16.9
1/7/75 6:00,17
1/7/75 8:00,16.9
1/7/75 10:00,17
1/7/75 12:00,16.6
1/7/75 14:00,16.7
1/7/75 16:00,16.8
1/7/75 18:00,16.7
1/7/75 20:00,16.4
1/7/75 22:00,16.5
1/8/75 0:00,16.4
1/8/75 2:00,16.6
1/8/75 4:00,16.5
1/8/75 6:00,16.7
1/8/75 8:00,16.4
1/8/75 10:00,16.4
1/8/75 12:00,16.2
1/8/75 14:00,16.4
1/8/75 16:00,16.3
1/8/75 18:00,16.4
1/8/75 20:00,17
1/8/75 22:00,16.9
1/9/75 0:00,17.1
1/9/75 2:00,17.1
1/9/75 4:00,16.7
1/9/75 6:00,16.9
1/9/75 8:00,16.5
1/9/75 10:00,17.2
1/9/75 12:00,16.4
1/9/75 14:00,17
1/9/75 16:00,17
1/9/75 18:00,16.7
1/9/75 20:00,16.2
1/9/75 22:00,16.6
1/10/75 0:00,16.9
1/10/75 2:00,16.5
1/10/75 4:00,16.6
1/10/75 6:00,16.6
1/10/75 8:00,17
1/10/75 10:00,17.1
1/10/75 12:00,17.1
1/10/75 14:00,16.7
1/10/75 16:00,16.8
1/10/75 18:00,16.3
1/10/75 20:00,16.6
1/10/75 22:00,16.8
1/11/75 0:00,16.9
1/11/75 2:00,17.1
1/11/75 4:00,16.8
1/11/75 6:00,17
1/11/75 8:00,17.2
1/11/75 10:00,17.3
1/11/75 12:00,17.2
1/11/75 14:00,17.3
1/11/75 16:00,17.2
1/11/75 18:00,17.2
1/11/75 20:00,17.5
1/11/75 22:00,16.9
1/12/75 0:00,16.9
1/12/75 2:00,16.9
1/12/75 4:00,17
1/12/75 6:00,16.5
1/12/75 8:00,16.7
1/12/75 10:00,16.8
1/12/75 12:00,16.7
1/12/75 14:00,16.7
1/12/75 16:00,16.6
1/12/75 18:00,16.5
1/12/75 20:00,17
1/12/75 22:00,16.7
1/13/75 0:00,16.7
1/13/75 2:00,16.9
1/13/75 4:00,17.4
1/13/75 6:00,17.1
1/13/75 8:00,17
1/13/75 10:00,16.8
1/13/75 12:00,17.2
1/13/75 14:00,17.2
1/13/75 16:00,17.4
1/13/75 18:00,17.2
1/13/75 20:00,16.9
1/13/75 22:00,16.8
1/14/75 0:00,17
1/14/75 2:00,17.4
1/14/75 4:00,17.2
1/14/75 6:00,17.2
1/14/75 8:00,17.1
1/14/75 10:00,17.1
1/14/75 12:00,17.1
1/14/75 14:00,17.4
1/14/75 16:00,17.2
1/14/75 18:00,16.9
1/14/75 20:00,16.9
1/14/75 22:00,17
1/15/75 0:00,16.7
1/15/75 2:00,16.9
1/15/75 4:00,17.3
1/15/75 6:00,17.8
1/15/75 8:00,17.8
1/15/75 10:00,17.6
1/15/75 12:00,17.5
1/15/75 14:00,17
1/15/75 16:00,16.9
1/15/75 18:00,17.1
1/15/75 20:00,17.2
1/15/75 22:00,17.4
1/16/75 0:00,17.5
1/16/75 2:00,17.9
1/16/75 4:00,17
1/16/75 6:00,17
1/16/75 8:00,17
1/16/75 10:00,17.2
1/16/75 12:00,17.3
1/16/75 14:00,17.4
1/16/75 16:00,17.4
1/16/75 18:00,17
1/16/75 20:00,18
1/16/75 22:00,18.2
1/17/75 0:00,17.6
1/17/75 2:00,17.8
1/17/75 4:00,17.7
1/17/75 6:00,17.2
1/17/75 8:00,17.4
