"Cement","Slag","Fly","Water","Superplasticizer","Coarse","Fine","Age","CCS"
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
366,187,0,191.3,6.6,824.3,756.9,28,65.91
307,0,0,193,0,968,812,365,36.15
155,183,0,193,9,877,868,28,23.79
350,0,0,186,0,1050,770,28,34.29
167,187,195,185,7,898,636,28,23.89
234,156,0,189,5.9,981,760,28,39.3
145,0,134,181,11,979,812,28,13.2
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
310,0,0,192,0,1012,830,120,38.7
339,0,0,197,0,968,781,28,32.04
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
149,236,0,176,13,847,893,28,32.96
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
315,137,0,145,5.9,1130,745,28,81.75
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
316.1,210.7,0,185.7,0,977,689.3,28,38.7
332.5,142.5,0,228,0,932,594,365,41.05
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
116,173,0,192,0,909.8,891.9,90,31.02
255,0,0,192,0,889.8,945,3,8.2
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
424,22,132,178,8.5,822,750,7,39
446,24,79,162,11.6,967,712,7,52.01
339,0,0,197,0,968,781,365,38.89
275,0,0,183,0,1088,808,7,14.2
150,237,0,174,12,1069,675,28,37.43
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
424,22,132,168,8.9,822,750,28,72.1
305.3,203.5,0,203.5,0,965.4,631,3,14.14
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
376,0,0,214.6,0,1003.5,762.4,100,43.06
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
525,0,0,189,0,1125,613,3,33.8
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
