"Cement","Slag","Fly","Water","Superplasticizer","Coarse","Fine","Age","CCS"
525,0,0,189,0,1125,613,270,67.11
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
424,22,132,168,8.9,822,750,3,32.11
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
190,190,0,228,0,932,670,180,46.93
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
141.3,212,0,203.5,0,971.8,748.5,3,4.83
376,0,0,214.6,0,1003.5,762.4,3,16.28
102,153,0,192,0,887,942,28,17.28
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
387,20,94,157,13.9,938,845,28,46.68
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
374,0,0,190,7,1013,730,28,39.05
380,0,0,228,0,932,670,270,53.3
167,187,195,185,7,898,636,28,23.89
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
200,0,0,180,0,1125,845,28,12.25
289,0,0,192,0,913.2,895.3,90,32.07
255,99,77,189,6,919,749,28,33.8
446,24,79,162,11.6,967,712,7,38.02
250,0,0,182,0,1100,820,7,12.73
166,260,0,183,13,859,827,28,37.91
342,38,0,228,0,932,670,270,55.06
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
436,0,0,218,0,838.4,719.7,28,23.85
339,0,0,197,0,968,781,180,36.45
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
446,24,79,162,11.6,967,712,28,44.42
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
427.5,47.5,0,228,0,932,594,180,41.84
141.3,212,0,203.5,0,971.8,748.5,7,10.39
252,0,0,186,0,1111,784,7,11.47
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
528,0,0,185,6.9,920,720,28,56.83
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
313,145,0,127,8,1000,822,28,44.52
505,0,60,195,0,1030,630,28,64.02
331,0,0,192,0,1025,821,120,39.38
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
350,0,0,203,0,974,775,28,27.34
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
136,162,126,172,10,923,764,28,29.07
142,167,130,174,11,883,785,28,44.61
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
307,0,0,193,0,968,812,3,12.54
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
350,0,0,186,0,1050,770,7,20.28
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
212,141.3,0,203.5,0,973.4,750,7,15.03
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
540,0,0,162,2.5,1055,676,28,61.89
397,17.2,158,167,20.8,967,633,28,55.65
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
525,0,0,189,0,1125,613,180,61.92
336,0,0,182,3,986,817,28,44.86
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
326,166,0,174,9,882,790,28,61.23
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
295.8,0,0,185.7,0,1091.4,769.3,28,25.22
333,0,0,192,0,931.2,842.6,90,41.68
184,86,190,213,6,923,623,28,22.93
307,0,0,193,0,968,812,90,32.92
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
157,236,0,192,0,935.4,781.2,90,43.38
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
212,141.3,0,203.5,0,973.4,750,28,33
313,161,0,178,10,917,759,28,52.44
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
307,0,0,193,0,968,812,365,36.15
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
