"Month","Motor vehicles engines and parts/CPI, Canada, 1976-1991"
"1976-01",1404.617
"1976-02",1423.298
"1976-03",909.362
"1976-04",1296.319
"1976-05",1415.646
"1976-06",1220.875
"1976-07",1715.083
"1976-08",1765.25
"1976-09",1464.327
"1976-10",1705.449
"1976-11",1697.42
"1976-12",1561.06
"1977-01",1651.2
"1977-02",1636.765
"1977-03",1396.353
"1977-04",1196
"1977-05",1354.269
"1977-06",1650.827
"1977-07",1684.442
"1977-08",1232.359
"1977-09",1604.698
"1977-10",1472.17
"1977-11",1658.407
"1977-12",1869.056
"1978-01",1661.782
"1978-02",1812.164
"1978-03",1427.054
"1978-04",1164.5
"1978-05",1538.911
"1978-06",1475.088
"1978-07",1876.316
"1978-08",1508.018
"1978-09",1542.086
"1978-10",1397.448
"1978-11",1325.492
"1978-12",1216.763
"1979-01",1205.15
"1979-02",734.833
"1979-03",879.984
"1979-04",582.41
"1979-05",1963.468
"1979-06",1223.903
"1979-07",708.016
"1979-08",494.333
"1979-09",613.778
"1979-10",693.25
"1979-11",731.123
"1979-12",774.554
"1980-01",367.576
"1980-02",359.788
"1980-03",187
"1980-04",299.618
"1980-05",604.559
"1980-06",592.275
"1980-07",806.4
"1980-08",617.029
"1980-09",505.085
"1980-10",614.139
"1980-11",506.055
"1980-12",605.178
"1981-01",728.784
"1981-02",558.067
"1981-03",446.684
"1981-04",516.618
"1981-05",821.351
"1981-06",936.295
"1981-07",1110.949
"1981-08",700.367
"1981-09",461.456
"1981-10",761.225
"1981-11",982.852
"1981-12",1078.732
"1982-01",1350.807
"1982-02",1453.024
"1982-03",956.679
"1982-04",1250.679
"1982-05",458.318
"1982-06",573.224
"1982-07",656.454
"1982-08",760.14
"1982-09",781.663
"1982-10",1354.07
"1982-11",1819.356
"1982-12",1302.782
"1983-01",1409.126
"1983-02",1527.75
"1983-03",681.472
"1983-04",1364.281
"1983-05",1608.472
"1983-06",1708.122
"1983-07",1879.044
"1983-08",1616.733
"1983-09",1594.367
"1983-10",1790.901
"1983-11",1826.473
"1983-12",2136.132
"1984-01",2120.572
"1984-02",2100.924
"1984-03",1467.587
"1984-04",2072.565
"1984-05",2016.772
"1984-06",1901.968
"1984-07",1930.054
"1984-08",1766.086
"1984-09",1797.681
"1984-10",2007.011
"1984-11",1930.277
"1984-12",1907.547
"1985-01",1814.705
"1985-02",1529.094
"1985-03",1019.958
"1985-04",1653.823
"1985-05",1837.354
"1985-06",2112.052
"1985-07",1717.856
"1985-08",1413.907
"1985-09",1513.255
"1985-10",1658.5
"1985-11",1486.48
"1985-12",1635.303
"1986-01",1543.768
"1986-02",1652.182
"1986-03",1181.41
"1986-04",1281.18
"1986-05",1492.76
"1986-06",1496.208
"1986-07",1600.059
"1986-08",1274.743
"1986-09",1479.51
"1986-10",1920.941
"1986-11",1690.971
"1986-12",1658.281
"1987-01",1237.202
"1987-02",1345.558
"1987-03",843.086
"1987-04",1480.305
"1987-05",1792.743
"1987-06",1877.267
"1987-07",1624.038
"1987-08",1372.009
"1987-09",1866.132
"1987-10",1875.009
"1987-11",2016.355
"1987-12",1746.234
"1988-01",1914.778
"1988-02",1864.472
"1988-03",945.184
"1988-04",1556.284
"1988-05",1686.56
"1988-06",1861.673
"1988-07",2133.809
"1988-08",1726.809
"1988-09",2140.446
"1988-10",1887.378
"1988-11",2010.464
"1988-12",1890.116
"1989-01",1911.991
"1989-02",1681.939
"1989-03",904.565
"1989-04",1683.078
"1989-05",1364.33
"1989-06",1466.33
"1989-07",1596.06
"1989-08",1111.345
"1989-09",1288.769
"1989-10",1300.333
"1989-11",1791.042
"1989-12",1592.195
"1990-01",2022.746
"1990-02",1760.076
"1990-03",941.135
"1990-04",1591.79
"1990-05",1316.75
"1990-06",1364.132
"1990-07",1039.306
"1990-08",597.661
"1990-09",494.536
"1990-10",1085.672
"1990-11",764.472
"1990-12",1014.968
"1991-01",1128.262
"1991-02",1132.857
"1991-03",741.254
"1991-04",996.873
"1991-05",1114.032
"1991-06",1113.151
"1991-07",979.386
"1991-08",781.246

Motor vehicles engines and parts/CPI, Canada, 1976-1991

