"Month","Monthly riverflow in cms, Feather River at oroville, California, Oct.1902 ? Sep. 1977"
"1902-10",56.634
"1902-11",84.951
"1902-12",113.267
"1903-01",58.588
"1903-02",475.440
"1903-03",282.319
"1903-04",473.458
"1903-05",304.123
"1903-06",159.990
"1903-07",61.957
"1903-08",41.428
"1903-09",33.924
"1903-10",40.295
"1903-11",100.043
"1903-12",166.730
"1904-01",209.262
"1904-02",148.437
"1904-03",336.121
"1904-04",534.056
"1904-05",266.830
"1904-06",120.970
"1904-07",64.647
"1904-08",51.112
"1904-09",45.052
"1904-10",50.093
"1904-11",558.125
"1904-12",118.223
"1905-01",97.099
"1905-02",793.721
"1905-03",1125.878
"1905-04",699.143
"1905-05",525.561
"1905-06",223.109
"1905-07",86.395
"1905-08",56.775
"1905-09",64.053
"1905-10",121.536
"1905-11",77.985
"1905-12",176.301
"1906-01",293.646
"1906-02",288.832
"1906-03",403.515
"1906-04",287.133
"1906-05",216.143
"1906-06",119.497
"1906-07",51.282
"1906-08",38.256
"1906-09",36.019
"1906-10",36.331
"1906-11",37.350
"1906-12",39.247
"1907-01",410.878
"1907-02",314.317
"1907-03",611.361
"1907-04",543.400
"1907-05",496.394
"1907-06",391.056
"1907-07",133.344
"1907-08",62.297
"1907-09",48.903
"1907-10",47.572
"1907-11",62.524
"1907-12",198.614
"1908-01",201.814
"1908-02",609.945
"1908-03",1044.609
"1908-04",834.214
"1908-05",662.048
"1908-06",430.416
"1908-07",169.873
"1908-08",74.926
"1908-09",53.830
"1908-10",52.528
"1908-11",50.404
"1908-12",127.681
"1909-01",205.156
"1909-02",180.718
"1909-03",205.156
"1909-04",260.685
"1909-05",231.434
"1909-06",150.447
"1909-07",65.554
"1909-08",42.758
"1909-09",35.396
"1909-10",46.610
"1909-11",49.668
"1909-12",54.085
"1910-01",1128.710
"1910-02",520.464
"1910-03",380.295
"1910-04",449.105
"1910-05",397.002
"1910-06",257.598
"1910-07",92.568
"1910-08",50.885
"1910-09",51.480
"1910-10",55.558
"1910-11",162.737
"1910-12",230.471
"1911-01",191.082
"1911-02",225.685
"1911-03",508.288
"1911-04",358.208
"1911-05",193.914
"1911-06",74.219
"1911-07",45.307
"1911-08",38.199
"1911-09",33.159
"1911-10",36.076
"1911-11",52.783
"1911-12",96.334
"1912-01",253.691
"1912-02",289.965
"1912-03",446.840
"1912-04",852.337
"1912-05",626.369
"1912-06",443.159
"1912-07",109.445
"1912-08",46.723
"1912-09",37.123
"1912-10",37.633
"1912-11",44.259
"1912-12",40.437
"1913-01",96.844
"1913-02",77.333
"1913-03",113.239
"1913-04",118.563
"1913-05",234.209
"1913-06",121.791
"1913-07",33.301
"1913-08",27.439
"1913-09",33.556
"1913-10",28.628
"1913-11",79.627
"1913-12",49.328
"1914-01",94.918
"1914-02",75.380
"1914-03",103.583
"1914-04",284.584
"1914-05",281.979
"1914-06",115.136
"1914-07",46.610
"1914-08",33.046
"1914-09",28.628
"1914-10",29.053
"1914-11",49.186
