"Month","Monthly interest rates Government Bond Yield 2-year securities, Reserve Bank of Australia. Jan 1969 ? Sep 1994"
"1969-01",4.94%
"1969-02",4.99%
"1969-03",5%
"1969-04",5.03%
"1969-05",5.03%
"1969-06",5.25%
"1969-07",5.26%
"1969-08",5.3%
"1969-09",5.45%
"1969-10",5.49%
"1969-11",5.52%
"1969-12",5.7%
"1970-01",5.68%
"1970-02",5.65%
"1970-03",5.8%
"1970-04",6.5%
"1970-05",6.45%
"1970-06",6.48%
"1970-07",6.45%
"1970-08",6.35%
"1970-09",6.4%
"1970-10",6.43%
"1970-11",6.43%
"1970-12",6.44%
"1971-01",6.45%
"1971-02",6.48%
"1971-03",6.4%
"1971-04",6.35%
"1971-05",6.4%
"1971-06",6.3%
"1971-07",6.32%
"1971-08",6.35%
"1971-09",6.13%
"1971-10",5.7%
"1971-11",5.58%
"1971-12",5.18%
"1972-01",5.18%
"1972-02",5.17%
"1972-03",5.15%
"1972-04",5.21%
"1972-05",5.23%
"1972-06",5.05%
"1972-07",4.65%
"1972-08",4.65%
"1972-09",4.6%
"1972-10",4.67%
"1972-11",4.69%
"1972-12",4.68%
"1973-01",4.62%
"1973-02",4.63%
"1973-03",4.9%
"1973-04",5.44%
"1973-05",5.56%
"1973-06",6.04%
"1973-07",6.06%
"1973-08",6.06%
"1973-09",8.07%
"1973-10",8.07%
"1973-11",8.1%
"1973-12",8.05%
"1974-01",8.06%
"1974-02",8.07%
"1974-03",8.06%
"1974-04",8.11%
"1974-05",8.6%
"1974-06",10.8%
"1974-07",11%
"1974-08",11%
"1974-09",11%
"1974-10",9.48%
"1974-11",9.18%
"1974-12",8.62%
"1975-01",8.3%
"1975-02",8.47%
"1975-03",8.44%
"1975-04",8.44%
"1975-05",8.46%
"1975-06",8.49%
"1975-07",8.54%
"1975-08",8.54%
"1975-09",8.5%
"1975-10",8.44%
"1975-11",8.49%
"1975-12",8.4%
"1976-01",8.46%
"1976-02",8.5%
"1976-03",8.5%
"1976-04",8.47%
"1976-05",8.47%
"1976-06",8.47%
"1976-07",8.48%
"1976-08",8.48%
"1976-09",8.54%
"1976-10",8.56%
"1976-11",8.39%
"1976-12",8.89%
"1977-01",9.91%
"1977-02",9.89%
"1977-03",9.91%
"1977-04",9.91%
