"Month","Monthly basic iron production in Australia: thousand tonnes. Jan 1956 ? Aug 1995"
"1956-01",172
"1956-02",166
"1956-03",175
"1956-04",171
"1956-05",184
"1956-06",175
"1956-07",183
"1956-08",154
"1956-09",182
"1956-10",161
"1956-11",191
"1956-12",197
"1957-01",193
"1957-02",174
"1957-03",178
"1957-04",171
"1957-05",176
"1957-06",184
"1957-07",202
"1957-08",199
"1957-09",185
"1957-10",191
"1957-11",185
"1957-12",205
"1958-01",201
"1958-02",176
"1958-03",200
"1958-04",190
"1958-05",203
"1958-06",182
"1958-07",193
"1958-08",198
"1958-09",193
"1958-10",185
"1958-11",192
"1958-12",204
"1959-01",202
"1959-02",184
"1959-03",191
"1959-04",196
"1959-05",210
"1959-06",235
"1959-07",214
"1959-08",215
"1959-09",211
"1959-10",261
"1959-11",210
"1959-12",216
"1960-01",216
"1960-02",198
"1960-03",223
"1960-04",243
"1960-05",252
"1960-06",252
"1960-07",243
"1960-08",255
"1960-09",246
"1960-10",259
"1960-11",252
"1960-12",282
"1961-01",239
"1961-02",237
"1961-03",267
"1961-04",245
"1961-05",275
"1961-06",283
"1961-07",299
"1961-08",297
"1961-09",276
"1961-10",256
"1961-11",237
"1961-12",299
"1962-01",304
"1962-02",273
"1962-03",308
"1962-04",303
"1962-05",301
"1962-06",279
"1962-07",298
"1962-08",291
"1962-09",267
"1962-10",286
"1962-11",279
"1962-12",305
"1963-01",302
"1963-02",274
"1963-03",306
"1963-04",277
"1963-05",296
"1963-06",252
"1963-07",304
"1963-08",350
"1963-09",328
"1963-10",328
"1963-11",337
"1963-12",334
"1964-01",340
"1964-02",332
"1964-03",344
"1964-04",288
"1964-05",295
"1964-06",322
"1964-07",357
"1964-08",359
"1964-09",337
"1964-10",330
"1964-11",337
"1964-12",353
"1965-01",339
"1965-02",316
"1965-03",323
"1965-04",306
"1965-05",322
"1965-06",335
"1965-07",382
"1965-08",392
"1965-09",376
"1965-10",373
"1965-11",385
"1965-12",402
"1966-01",380
"1966-02",328
"1966-03",356
"1966-04",352
"1966-05",389
"1966-06",401
"1966-07",429
"1966-08",402
"1966-09",420
"1966-10",440
"1966-11",427
"1966-12",420
"1967-01",426
"1967-02",361
"1967-03",406
"1967-04",388
"1967-05",453
"1967-06",434
"1967-07",445
"1967-08",456
"1967-09",434
"1967-10",423
"1967-11",388
"1967-12",442
"1968-01",452
"1968-02",427
"1968-03",467
"1968-04",449
"1968-05",473
"1968-06",443
"1968-07",419
"1968-08",457
"1968-09",462
"1968-10",505
"1968-11",495
"1968-12",522
"1969-01",518
"1969-02",456
"1969-03",540
"1969-04",495
"1969-05",502
"1969-06",505
"1969-07",497
"1969-08",516
"1969-09",501
"1969-10",523
"1969-11",521
"1969-12",533
"1970-01",524
"1970-02",458
"1970-03",427
"1970-04",440
"1970-05",539
"1970-06",515
"1970-07",526
"1970-08",536
"1970-09",537
"1970-10",564
"1970-11",531
"1970-12",550
"1971-01",536
"1971-02",450
"1971-03",533
"1971-04",521
"1971-05",438
"1971-06",509
"1971-07",535
"1971-08",544
"1971-09",536
"1971-10",549
"1971-11",509
"1971-12",466
"1972-01",472
"1972-02",444
"1972-03",498
"1972-04",478
"1972-05",532
"1972-06",497
"1972-07",542
"1972-08",553
"1972-09",576
"1972-10",626
"1972-11",629
"1972-12",646
"1973-01",611
"1973-02",542
"1973-03",646
"1973-04",653
"1973-05",662
"1973-06",533
"1973-07",662
"1973-08",673
"1973-09",640
"1973-10",682
"1973-11",648
"1973-12",707
"1974-01",662
"1974-02",611
"1974-03",651
"1974-04",522
"1974-05",525
"1974-06",524
"1974-07",630
"1974-08",596
"1974-09",583
"1974-10",632
"1974-11",614
"1974-12",700
"1975-01",688
"1975-02",645
"1975-03",673
"1975-04",644
"1975-05",660
"1975-06",531
"1975-07",555
"1975-08",675
"1975-09",651
"1975-10",639
"1975-11",605
"1975-12",507
"1976-01",711
"1976-02",574
"1976-03",642
"1976-04",623
"1976-05",674
"1976-06",663
"1976-07",675
"1976-08",629
"1976-09",605
"1976-10",571
"1976-11",495
"1976-12",557
"1977-01",604
"1977-02",527
"1977-03",580
"1977-04",574
"1977-05",601
"1977-06",541
"1977-07",508
"1977-08",613
"1977-09",546
"1977-10",564
"1977-11",549
"1977-12",546
"1978-01",592
"1978-02",597
"1978-03",673
"1978-04",613
"1978-05",651
"1978-06",646
"1978-07",594
"1978-08",599
"1978-09",577
"1978-10",626
"1978-11",573
"1978-12",596
"1979-01",631
"1979-02",586
"1979-03",649
"1979-04",641
"1979-05",662
"1979-06",613
"1979-07",650
"1979-08",666
"1979-09",668
"1979-10",697
"1979-11",656
"1979-12",692
"1980-01",707
"1980-02",628
"1980-03",550
"1980-04",439
"1980-05",434
"1980-06",489
"1980-07",643
"1980-08",658
"1980-09",588
"1980-10",608
"1980-11",598
"1980-12",617
"1981-01",668
"1981-02",605
"1981-03",650
"1981-04",583
"1981-05",607
"1981-06",578
"1981-07",582
"1981-08",605
"1981-09",483
"1981-10",476
"1981-11",489
"1981-12",504
"1982-01",610
"1982-02",541
"1982-03",620
"1982-04",561
"1982-05",571
"1982-06",532
"1982-07",545
"1982-08",480
"1982-09",366
"1982-10",367
"1982-11",377
"1982-12",386
"1983-01",380
"1983-02",364
"1983-03",393
"1983-04",391
"1983-05",421
"1983-06",423
"1983-07",461
"1983-08",442
"1983-09",433
"1983-10",450
"1983-11",434
"1983-12",453
"1984-01",464
"1984-02",401
"1984-03",464
"1984-04",399
"1984-05",441
"1984-06",445
"1984-07",466
"1984-08",458
"1984-09",445
"1984-10",456
"1984-11",425
"1984-12",465
"1985-01",448
"1985-02",379
"1985-03",459
"1985-04",417
"1985-05",446
"1985-06",467
"1985-07",496
"1985-08",490
"1985-09",492
"1985-10",513
"1985-11",507
"1985-12",493
"1986-01",514
"1986-02",454
"1986-03",506
"1986-04",469
"1986-05",509
"1986-06",482
"1986-07",444
"1986-08",502
"1986-09",505
"1986-10",506
"1986-11",485
"1986-12",513
"1987-01",496
"1987-02",444
"1987-03",505
"1987-04",421
"1987-05",474
"1987-06",488
"1987-07",493
"1987-08",577
"1987-09",514
"1987-10",440
"1987-11",417
"1987-12",389
"1988-01",366
"1988-02",449
"1988-03",518
"1988-04",447
"1988-05",466
"1988-06",469
"1988-07",493
"1988-08",498
"1988-09",500
"1988-10",519
"1988-11",489
"1988-12",518
"1989-01",499
"1989-02",454
"1989-03",488
"1989-04",486
"1989-05",457
"1989-06",473
"1989-07",528
"1989-08",513
"1989-09",546
"1989-10",558
"1989-11",521
"1989-12",553
"1990-01",534
"1990-02",440
"1990-03",484
"1990-04",498
"1990-05",518
"1990-06",476
"1990-07",515
"1990-08",551
"1990-09",526
"1990-10",521
"1990-11",539
"1990-12",523
"1991-01",454
"1991-02",413
"1991-03",384
"1991-04",356
"1991-05",397
"1991-06",420
"1991-07",535
"1991-08",587
"1991-09",522
"1991-10",558
"1991-11",454
"1991-12",567
"1992-01",552
"1992-02",502
"1992-03",557
"1992-04",533
"1992-05",510
"1992-06",517
"1992-07",572
"1992-08",537
"1992-09",543
"1992-10",532
"1992-11",533
"1992-12",500
"1993-01",531
"1993-02",466
"1993-03",526
"1993-04",550
"1993-05",567
"1993-06",568
"1993-07",572
"1993-08",588
"1993-09",574
"1993-10",613
"1993-11",600
"1993-12",591
"1994-01",582
"1994-02",556
"1994-03",607
"1994-04",628
"1994-05",652
"1994-06",646
"1994-07",643
"1994-08",649
"1994-09",643
"1994-10",644
"1994-11",627
"1994-12",590
"1995-01",637
"1995-02",563
"1995-03",634
"1995-04",605
"1995-05",619
"1995-06",595
"1995-07",625
"1995-08",657

Monthly basic iron production in Australia: thousand tonnes. Jan 1956 ? Aug 1995

