"Date","Mean daily flow (cumecs), Jokulsa Eystri River, 1 Jan 1972 ? 31 Dec 1974"
"1972-01-01",30.2
"1972-01-02",29.0
"1972-01-03",28.4
"1972-01-04",27.8
"1972-01-05",27.8
"1972-01-06",27.8
"1972-01-07",27.8
"1972-01-08",27.8
"1972-01-09",27.8
"1972-01-10",27.3
"1972-01-11",27.3
"1972-01-12",27.3
"1972-01-13",26.2
"1972-01-14",25.2
"1972-01-15",26.7
"1972-01-16",26.7
"1972-01-17",26.7
"1972-01-18",26.7
"1972-01-19",26.7
"1972-01-20",25.2
"1972-01-21",25.7
"1972-01-22",26.2
"1972-01-23",26.2
"1972-01-24",26.2
"1972-01-25",26.2
"1972-01-26",25.7
"1972-01-27",26.2
"1972-01-28",26.7
"1972-01-29",28.4
"1972-01-30",29.0
"1972-01-31",27.8
"1972-02-01",27.3
"1972-02-02",26.7
"1972-02-03",26.7
"1972-02-04",25.7
"1972-02-05",26.2
"1972-02-06",26.2
"1972-02-07",25.7
"1972-02-08",25.7
"1972-02-09",25.7
"1972-02-10",25.7
"1972-02-11",25.7
"1972-02-12",25.7
"1972-02-13",25.7
"1972-02-14",25.2
"1972-02-15",25.2
"1972-02-16",25.2
"1972-02-17",24.6
"1972-02-18",25.2
"1972-02-19",25.7
"1972-02-20",26.7
"1972-02-21",26.2
"1972-02-22",25.7
"1972-02-23",26.7
"1972-02-24",26.7
"1972-02-25",26.7
"1972-02-26",26.7
"1972-02-27",25.7
"1972-02-28",25.7
"1972-02-29",25.2
"1972-03-01",25.2
"1972-03-02",25.2
"1972-03-03",24.6
"1972-03-04",24.6
"1972-03-05",24.6
"1972-03-06",24.6
"1972-03-07",24.6
"1972-03-08",24.6
"1972-03-09",23.6
"1972-03-10",24.1
"1972-03-11",24.1
"1972-03-12",24.6
"1972-03-13",24.1
"1972-03-14",24.6
"1972-03-15",24.6
"1972-03-16",25.7
"1972-03-17",28.4
"1972-03-18",31.4
"1972-03-19",30.2
"1972-03-20",29.0
"1972-03-21",28.4
"1972-03-22",27.8
"1972-03-23",26.7
"1972-03-24",26.7
"1972-03-25",27.8
"1972-03-26",26.7
"1972-03-27",26.2
"1972-03-28",25.2
"1972-03-29",25.2
"1972-03-30",25.2
"1972-03-31",24.6
"1972-04-01",25.2
"1972-04-02",25.2
"1972-04-03",24.1
"1972-04-04",24.1
"1972-04-05",24.6
"1972-04-06",24.1
"1972-04-07",24.1
"1972-04-08",24.1
"1972-04-09",24.1
"1972-04-10",23.6
"1972-04-11",23.6
"1972-04-12",23.6
"1972-04-13",23.6
"1972-04-14",23.6
"1972-04-15",23.6
"1972-04-16",23.6
"1972-04-17",24.1
"1972-04-18",24.1
"1972-04-19",24.1
"1972-04-20",25.2
"1972-04-21",25.2
"1972-04-22",26.7
"1972-04-23",30.2
"1972-04-24",41.7
"1972-04-25",51.7
"1972-04-26",44.0
"1972-04-27",41.0
"1972-04-28",35.7
"1972-04-29",30.8
"1972-04-30",27.8
"1972-05-01",29.0
"1972-05-02",29.0
"1972-05-03",28.4
"1972-05-04",27.8
"1972-05-05",34.4
"1972-05-06",47.0
"1972-05-07",59.1
"1972-05-08",101.0
"1972-05-09",103.0
"1972-05-10",90.0
"1972-05-11",113.0
"1972-05-12",121.0
"1972-05-13",104.0
"1972-05-14",94.8
"1972-05-15",77.4
"1972-05-16",83.0
"1972-05-17",81.6
"1972-05-18",80.2
"1972-05-19",81.6
"1972-05-20",90.0
"1972-05-21",103.0
"1972-05-22",111.0
"1972-05-23",109.0
"1972-05-24",103.0
"1972-05-25",99.6
"1972-05-26",91.6
"1972-05-27",66.6
"1972-05-28",59.1
"1972-05-29",52.5
"1972-05-30",51.7
"1972-05-31",53.3
"1972-06-01",52.5
"1972-06-02",52.5
"1972-06-03",58.3
"1972-06-04",64.3
"1972-06-05",67.8
"1972-06-06",78.8
"1972-06-07",66.6
"1972-06-08",55.7
"1972-06-09",57.4
"1972-06-10",63.4
"1972-06-11",67.8
"1972-06-12",69.0
"1972-06-13",70.2
"1972-06-14",84.4
"1972-06-15",90.0
"1972-06-16",78.8
"1972-06-17",60.0
"1972-06-18",48.5
"1972-06-19",42.4
"1972-06-20",41.7
"1972-06-21",40.2
"1972-06-22",45.4
"1972-06-23",50.9
"1972-06-24",54.1
"1972-06-25",50.1
"1972-06-26",50.9
"1972-06-27",52.5
"1972-06-28",54.9
"1972-06-29",59.1
"1972-06-30",61.7
