"Month","Monthly riverflow in cms, Mad River at springfield, OH., 1915 - 1960"
"1915-01",6.400
"1915-02",5.578
"1915-03",7.306
"1915-04",10.477
"1915-05",30.554
"1915-06",9.543
"1915-07",7.674
"1915-08",7.051
"1915-09",8.608
"1915-10",25.344
"1915-11",10.109
"1915-12",12.091
"1916-01",10.194
"1916-02",9.939
"1916-03",11.582
"1916-04",43.268
"1916-05",19.142
"1916-06",32.819
"1916-07",20.332
"1916-08",26.448
"1916-09",25.768
"1916-10",9.571
"1916-11",6.683
"1916-12",5.862
"1917-01",5.663
"1917-02",5.635
"1917-03",7.731
"1917-04",20.643
"1917-05",16.056
"1917-06",24.041
"1917-07",17.245
"1917-08",15.404
"1917-09",17.018
"1917-10",20.530
"1917-11",6.655
"1917-12",5.182
"1918-01",6.570
"1918-02",6.315
"1918-03",5.409
"1918-04",7.249
"1918-05",30.639
"1918-06",18.151
"1918-07",9.599
"1918-08",18.123
"1918-09",7.844
"1918-10",7.504
"1918-11",9.571
"1918-12",12.205
"1919-01",8.127
"1919-02",8.523
"1919-03",18.208
"1919-04",14.215
"1919-05",9.883
"1919-06",29.308
"1919-07",21.379
"1919-08",23.135
"1919-09",9.769
"1919-10",12.828
"1919-11",8.382
"1919-12",5.012
"1920-01",7.249
"1920-02",19.510
"1920-03",13.819
"1920-04",6.739
"1920-05",18.944
"1920-06",27.326
"1920-07",40.975
"1920-08",16.820
"1920-09",11.836
"1920-10",18.179
"1920-11",22.682
"1920-12",11.525
"1921-01",6.456
"1921-02",16.027
"1921-03",15.659
"1921-04",18.264
"1921-05",27.156
"1921-06",46.525
"1921-07",28.713
"1921-08",20.983
"1921-09",18.576
"1921-10",9.146
"1921-11",14.102
"1921-12",7.731
"1922-01",6.173
"1922-02",27.751
"1922-03",21.691
"1922-04",13.366
"1922-05",17.500
"1922-06",23.984
"1922-07",52.103
"1922-08",29.591
"1922-09",12.771
"1922-10",9.005
"1922-11",8.382
"1922-12",10.137
"1923-01",5.607
"1923-02",6.088
"1923-03",8.637
"1923-04",18.010
"1923-05",14.243
"1923-06",18.038
"1923-07",10.874
"1923-08",12.969
"1923-09",7.816
"1923-10",5.550
"1923-11",5.947
"1923-12",4.927
"1924-01",4.587
"1924-02",4.984
"1924-03",26.391
"1924-04",25.174
"1924-05",15.235
"1924-06",32.140
"1924-07",16.141
"1924-08",12.658
"1924-09",46.043
"1924-10",11.836
"1924-11",6.739
"1924-12",5.777
"1925-01",5.692
"1925-02",6.145
"1925-03",8.863
"1925-04",6.258
"1925-05",13.394
"1925-06",14.527
"1925-07",11.582
"1925-08",8.042
"1925-09",5.862
"1925-10",5.040
"1925-11",5.182
"1925-12",7.929
"1926-01",7.674
"1926-02",20.048
"1926-03",10.251
"1926-04",8.976
"1926-05",20.983
"1926-06",18.576
"1926-07",21.294
"1926-08",9.996
"1926-09",6.626
"1926-10",7.759
"1926-11",14.300
"1926-12",24.437
"1927-01",35.821
"1927-02",19.340
"1927-03",14.413
"1927-04",33.980
"1927-05",19.652
"1927-06",31.234
"1927-07",25.683
"1927-08",22.484
"1927-09",24.806
"1927-10",11.836
"1927-11",8.807
"1927-12",8.042
"1928-01",7.929
"1928-02",12.913
"1928-03",28.232
"1928-04",14.980
"1928-05",24.891
"1928-06",15.008
"1928-07",18.633
"1928-08",11.044
"1928-09",26.759
"1928-10",13.734
"1928-11",8.099
"1928-12",5.522
"1929-01",6.173
"1929-02",7.476
"1929-03",9.118
"1929-04",32.791
"1929-05",34.547
"1929-06",20.615
"1929-07",19.199
"1929-08",30.073
"1929-09",20.048
"1929-10",25.259
"1929-11",11.383
"1929-12",8.269
"1930-01",10.930
"1930-02",19.992
"1930-03",23.645
"1930-04",57.795
"1930-05",35.113
"1930-06",21.917
"1930-07",15.150
"1930-08",11.468
"1930-09",8.920
"1930-10",6.485
"1930-11",5.409
"1930-12",5.862
"1931-01",5.295
"1931-02",5.125
"1931-03",5.324
"1931-04",5.578
"1931-05",6.060
"1931-06",7.985
"1931-07",12.176
"1931-08",6.173
"1931-09",5.210
"1931-10",7.051
"1931-11",6.796
"1931-12",5.437
"1932-01",6.371
"1932-02",7.617
"1932-03",20.558
"1932-04",39.162
"1932-05",18.944
"1932-06",14.442
"1932-07",13.082
"1932-08",8.948
"1932-09",11.214
"1932-10",11.525
"1932-11",5.324
"1932-12",5.012
"1933-01",5.324
"1933-02",8.920
"1933-03",18.151
"1933-04",18.236
"1933-05",13.762
"1933-06",32.961
"1933-07",31.885
"1933-08",44.542
"1933-09",14.215
"1933-10",10.053
"1933-11",7.787
"1933-12",6.994
"1934-01",6.938
"1934-02",6.541
"1934-03",6.938
"1934-04",6.626
"1934-05",5.239
"1934-06",14.527
"1934-07",7.561
"1934-08",5.182
"1934-09",3.681
"1934-10",3.256
"1934-11",4.248
"1934-12",3.228
"1935-01",3.256
"1935-02",4.134
"1935-03",3.851
"1935-04",4.701
"1935-05",4.219
"1935-06",6.938
"1935-07",7.532
"1935-08",15.829
"1935-09",9.260
"1935-10",8.552
"1935-11",9.146
"1935-12",4.701
"1936-01",4.587
"1936-02",5.805
"1936-03",9.684
"1936-04",9.854
"1936-05",30.809
"1936-06",19.001
"1936-07",18.293
"1936-08",9.911
"1936-09",5.437
"1936-10",3.879
"1936-11",3.879
"1936-12",5.692
"1937-01",8.920
"1937-02",14.215
"1937-03",7.674
"1937-04",87.414
"1937-05",26.420
"1937-06",15.461
"1937-07",21.832
"1937-08",17.387
"1937-09",18.349
"1937-10",15.546
"1937-11",8.608
"1937-12",7.787
"1938-01",8.155
"1938-02",7.447
"1938-03",14.895
"1938-04",9.741
"1938-05",24.324
"1938-06",32.678
"1938-07",34.603
"1938-08",19.850
"1938-09",13.734
"1938-10",14.838
"1938-11",9.939
"1938-12",8.269
"1939-01",6.088
"1939-02",9.231
"1939-03",8.042
"1939-04",13.252
"1939-05",23.786
"1939-06",21.917
"1939-07",31.149
"1939-08",11.808
"1939-09",16.650
"1939-10",12.091
"1939-11",7.957
"1939-12",5.522
"1940-01",6.655
"1940-02",6.173
"1940-03",5.890
"1940-04",6.739
"1940-05",17.132
"1940-06",19.595
"1940-07",25.457
"1940-08",11.921
"1940-09",10.732
"1940-10",5.777
"1940-11",4.417
"1940-12",4.474
"1941-01",4.248
"1941-02",5.267
"1941-03",6.768
"1941-04",7.164
"1941-05",8.637
"1941-06",5.663
"1941-07",7.844
"1941-08",5.040
"1941-09",9.005
"1941-10",5.267
"1941-11",3.653
"1941-12",3.058
"1942-01",4.417
"1942-02",5.040
"1942-03",6.513
"1942-04",6.060
"1942-05",15.036
"1942-06",12.488
"1942-07",16.707
"1942-08",7.532
"1942-09",7.476
"1942-10",5.805
"1942-11",7.702
"1942-12",4.616
"1943-01",4.191
"1943-02",7.136
"1943-03",13.139
"1943-04",14.923
"1943-05",15.093
"1943-06",30.639
"1943-07",13.082
"1943-08",14.328
"1943-09",10.591
"1943-10",14.527
"1943-11",11.185
"1943-12",6.400
"1944-01",5.465
"1944-02",5.720
"1944-03",4.899
"1944-04",4.814
"1944-05",5.777
"1944-06",17.585
"1944-07",30.073
"1944-08",13.337
"1944-09",9.883
"1944-10",5.210
"1944-11",5.578
"1944-12",4.021
"1945-01",3.879
"1945-02",3.795
"1945-03",3.710
"1945-04",4.049
"1945-05",17.698
"1945-06",40.521
"1945-07",19.567
"1945-08",19.454
"1945-09",16.735
"1945-10",8.976
"1945-11",6.173
"1945-12",5.550
"1946-01",5.975
"1946-02",8.070
"1946-03",10.166
"1946-04",10.789
"1946-05",21.493
"1946-06",19.822
"1946-07",9.571
"1946-08",15.461
"1946-09",19.878
"1946-10",11.185
"1946-11",7.051
"1946-12",4.899
"1947-01",5.154
"1947-02",5.720
"1947-03",9.061
"1947-04",21.776
"1947-05",12.403
"1947-06",11.808
"1947-07",22.625
"1947-08",34.094
"1947-09",46.440
"1947-10",20.756
"1947-11",21.577
"1947-12",13.819
"1948-01",8.693
"1948-02",9.543
"1948-03",8.495
"1948-04",17.245
"1948-05",34.094
"1948-06",31.375
"1948-07",37.661
"1948-08",21.832
"1948-09",12.120
"1948-10",9.571
"1948-11",6.796
"1948-12",5.947
"1949-01",6.343
"1949-02",16.112
"1949-03",17.018
"1949-04",48.847
"1949-05",30.894
"1949-06",23.616
"1949-07",17.896
"1949-08",12.884
"1949-09",19.737
"1949-10",11.072
"1949-11",7.900
"1949-12",9.373
"1950-01",7.277
"1950-02",6.230
"1950-03",9.968
"1950-04",66.403
"1950-05",44.882
"1950-06",24.324
"1950-07",27.694
"1950-08",17.132
"1950-09",11.497
"1950-10",10.279
"1950-11",8.099
"1950-12",8.410
"1951-01",10.137
"1951-02",15.235
"1951-03",30.186
"1951-04",33.301
"1951-05",40.833
"1951-06",28.572
"1951-07",24.296
"1951-08",17.840
"1951-09",14.895
"1951-10",9.911
"1951-11",6.343
"1951-12",6.173
"1952-01",6.201
"1952-02",7.589
"1952-03",16.877
"1952-04",42.390
"1952-05",30.865
"1952-06",31.120
"1952-07",29.081
"1952-08",19.171
"1952-09",11.921
"1952-10",8.014
"1952-11",6.711
"1952-12",6.456
"1953-01",5.890
"1953-02",5.494
"1953-03",7.617
"1953-04",12.261
"1953-05",10.704
"1953-06",13.875
"1953-07",9.741
"1953-08",21.464
"1953-09",8.976
"1953-10",6.116
"1953-11",5.097
"1953-12",3.879
"1954-01",4.078
"1954-02",4.389
"1954-03",4.757
"1954-04",5.352
"1954-05",5.494
"1954-06",8.580
"1954-07",9.996
"1954-08",6.032
"1954-09",9.883
"1954-10",3.936
"1954-11",5.012
"1954-12",3.823
"1955-01",5.069
"1955-02",4.333
"1955-03",5.720
"1955-04",8.269
"1955-05",21.974
"1955-06",25.372
"1955-07",11.553
"1955-08",7.476
"1955-09",5.635
"1955-10",6.739
"1955-11",3.625
"1955-12",3.681
"1956-01",5.125
"1956-02",14.527
"1956-03",6.881
"1956-04",5.522
"1956-05",27.552
"1956-06",21.493
"1956-07",20.870
"1956-08",16.424
"1956-09",11.978
"1956-10",10.364
"1956-11",6.173
"1956-12",4.814
"1957-01",4.389
"1957-02",4.248
"1957-03",5.097
"1957-04",7.249
"1957-05",8.523
"1957-06",6.994
"1957-07",37.973
"1957-08",20.190
"1957-09",15.574
"1957-10",15.433
"1957-11",6.371
"1957-12",5.663
"1958-01",5.324
"1958-02",7.816
"1958-03",25.400
"1958-04",16.339
"1958-05",12.148
"1958-06",11.695
"1958-07",16.877
"1958-08",21.974
"1958-09",49.583
"1958-10",25.910
"1958-11",22.484
"1958-12",13.196
"1959-01",9.911
"1959-02",9.543
"1959-03",9.146
"1959-04",53.972
"1959-05",42.051
"1959-06",23.050
"1959-07",16.792
"1959-08",16.877
"1959-09",9.543
"1959-10",8.382
"1959-11",6.768
"1959-12",6.060
"1960-01",5.748
"1960-02",6.768
"1960-03",9.741
"1960-04",12.601
"1960-05",14.753
"1960-06",10.619
"1960-07",9.826
"1960-08",11.638
"1960-09",11.355
"1960-10",7.193
"1960-11",5.437
"1960-12",4.219

Monthly riverflow in cms, Mad River at springfield, OH., 1915 - 1960

