"Month","Monthly riverflow in cms, N. Magnetawan River at burks falls, 1916 ? Sep. 1977"
"1916-01",5.38
"1916-02",8.01
"1916-03",4.19
"1916-04",24.32
"1916-05",14.58
"1916-06",9.80
"1916-07",2.72
"1916-08",0.85
"1916-09",1.97
"1916-10",6.37
"1916-11",7.99
"1916-12",11.33
"1917-01",2.83
"1917-02",2.56
"1917-03",2.89
"1917-04",21.18
"1917-05",10.36
"1917-06",5.95
"1917-07",10.25
"1917-08",2.29
"1917-09",1.19
"1917-10",3.71
"1917-11",4.16
"1917-12",2.12
"1918-01",1.24
"1918-02",1.00
"1918-03",3.85
"1918-04",16.85
"1918-05",9.26
"1918-06",3.85
"1918-07",1.87
"1918-08",1.16
"1918-09",2.19
"1918-10",8.24
"1918-11",7.79
"1918-12",7.39
"1919-01",4.50
"1919-02",2.62
"1919-03",8.33
"1919-04",18.18
"1919-05",13.90
"1919-06",6.00
"1919-07",1.18
"1919-08",1.14
"1919-09",1.84
"1919-10",3.57
"1919-11",8.86
"1919-12",7.25
"1920-01",2.27
"1920-02",1.68
"1920-03",9.63
"1920-04",15.86
"1920-05",9.43
"1920-06",2.40
"1920-07",3.20
"1920-08",1.44
"1920-09",1.83
"1920-10",2.23
"1920-11",5.83
"1920-12",5.89
"1921-01",4.87
"1921-02",2.74
"1921-03",19.28
"1921-04",16.82
"1921-05",6.48
"1921-06",2.60
"1921-07",1.16
"1921-08",1.63
"1921-09",0.82
"1921-10",1.83
"1921-11",5.04
"1921-12",8.50
"1922-01",3.62
"1922-02",3.03
"1922-03",5.24
"1922-04",29.45
"1922-05",6.65
"1922-06",2.11
"1922-07",2.80
"1922-08",1.48
"1922-09",0.77
"1922-10",0.98
"1922-11",2.23
"1922-12",2.01
"1923-01",1.50
"1923-02",1.33
"1923-03",1.86
"1923-04",20.61
"1923-05",19.74
"1923-06",5.47
"1923-07",1.33
"1923-08",0.86
"1923-09",1.78
"1923-10",0.95
"1923-11",1.76
"1923-12",5.21
"1924-01",2.40
"1924-02",2.24
"1924-03",3.31
"1924-04",17.70
"1924-05",18.86
"1924-06",5.30
"1924-07",1.28
"1924-08",1.03
"1924-09",0.89
"1924-10",1.31
"1924-11",1.44
"1924-12",3.31
"1925-01",1.51
"1925-02",2.56
"1925-03",4.30
"1925-04",23.47
"1925-05",7.08
"1925-06",6.20
"1925-07",2.68
"1925-08",0.96
"1925-09",0.69
"1925-10",1.26
"1925-11",5.38
"1925-12",4.76
"1926-01",2.34
"1926-02",1.95
"1926-03",1.55
"1926-04",6.65
"1926-05",25.23
"1926-06",6.65
"1926-07",5.21
"1926-08",1.72
"1926-09",1.21
"1926-10",1.68
"1926-11",15.26
"1926-12",6.09
"1927-01",2.38
"1927-02",2.21
"1927-03",9.29
"1927-04",12.09
"1927-05",8.92
"1927-06",6.34
"1927-07",4.22
"1927-08",1.87
"1927-09",0.94
"1927-10",3.79
"1927-11",7.84
"1927-12",7.14
"1928-01",4.33
"1928-02",2.92
"1928-03",3.57
"1928-04",32.56
"1928-05",17.90
"1928-06",8.21
"1928-07",6.20
"1928-08",6.80
