"Time","CO2","Methane"
"1970-04-01 09:00:00",53.8,0.109
"1970-04-01 09:09:00",53.6,0
"1970-04-01 09:18:00",53.5,0.178
"1970-04-01 09:27:00",53.5,0.339
"1970-04-01 09:36:00",53.4,0.373
"1970-04-01 09:45:00",53.1,0.441
"1970-04-01 09:54:00",52.7,0.461
"1970-04-01 10:03:00",52.4,0.348
"1970-04-01 10:12:00",52.2,0.127
"1970-04-01 10:21:00",52,0.18
"1970-04-01 10:30:00",52,0.588
"1970-04-01 10:39:00",52.4,1.055
"1970-04-01 10:48:00",53,1.421
"1970-04-01 10:57:00",54,1.52
"1970-04-01 11:06:00",54.9,1.302
"1970-04-01 11:15:00",56,0.814
"1970-04-01 11:24:00",56.8,0.475
"1970-04-01 11:33:00",56.8,0.193
"1970-04-01 11:42:00",56.4,0.088
"1970-04-01 11:51:00",55.7,0.435
"1970-04-01 12:00:00",55,0.771
"1970-04-01 12:09:00",54.3,0.866
"1970-04-01 12:18:00",53.2,0.875
"1970-04-01 12:27:00",52.3,0.891
"1970-04-01 12:36:00",51.6,0.987
"1970-04-01 12:45:00",51.2,1.263
"1970-04-01 12:54:00",50.8,1.775
"1970-04-01 13:03:00",50.5,1.976
"1970-04-01 13:12:00",50,1.934
"1970-04-01 13:21:00",49.2,1.866
"1970-04-01 13:30:00",48.4,1.832
"1970-04-01 13:39:00",47.9,1.767
"1970-04-01 13:48:00",47.6,1.608
"1970-04-01 13:57:00",47.5,1.265
"1970-04-01 14:06:00",47.5,0.79
"1970-04-01 14:15:00",47.6,0.36
"1970-04-01 14:24:00",48.1,0.115
"1970-04-01 14:33:00",49,0.088
"1970-04-01 14:42:00",50,0.331
"1970-04-01 14:51:00",51.1,0.645
"1970-04-01 15:00:00",51.8,0.96
"1970-04-01 15:09:00",51.9,1.409
"1970-04-01 15:18:00",51.7,2.67
"1970-04-01 15:27:00",51.2,2.834
"1970-04-01 15:36:00",50,2.812
"1970-04-01 15:45:00",48.3,2.483
"1970-04-01 15:54:00",47,1.929
"1970-04-01 16:03:00",45.8,1.485
"1970-04-01 16:12:00",45.6,1.214
"1970-04-01 16:21:00",46,1.239
"1970-04-01 16:30:00",46.9,1.608
"1970-04-01 16:39:00",47.8,1.905
"1970-04-01 16:48:00",48.2,2.023
"1970-04-01 16:57:00",48.3,1.815
"1970-04-01 17:06:00",47.9,0.535
"1970-04-01 17:15:00",47.2,0.122
"1970-04-01 17:24:00",47.2,0.009
"1970-04-01 17:33:00",48.1,0.164
"1970-04-01 17:42:00",49.4,0.671
"1970-04-01 17:51:00",50.6,1.019
"1970-04-01 18:00:00",51.5,1.146
"1970-04-01 18:09:00",51.6,1.155
"1970-04-01 18:18:00",51.2,1.112
"1970-04-01 18:27:00",50.5,1.121
"1970-04-01 18:36:00",50.1,1.223
"1970-04-01 18:45:00",49.8,1.257
"1970-04-01 18:54:00",49.6,1.157
"1970-04-01 19:03:00",49.4,0.913
"1970-04-01 19:12:00",49.3,0.62
"1970-04-01 19:21:00",49.2,0.255
"1970-04-01 19:30:00",49.3,0.28
"1970-04-01 19:39:00",49.7,1.08
"1970-04-01 19:48:00",50.3,1.551
"1970-04-01 19:57:00",51.3,1.799
"1970-04-01 20:06:00",52.8,1.825
"1970-04-01 20:15:00",54.4,1.456
"1970-04-01 20:24:00",56,0.944
"1970-04-01 20:33:00",56.9,0.57
"1970-04-01 20:42:00",57.5,0.431
"1970-04-01 20:51:00",57.3,0.577
"1970-04-01 21:00:00",56.6,0.96
"1970-04-01 21:09:00",56,1.616
"1970-04-01 21:18:00",55.4,1.875
"1970-04-01 21:27:00",55.4,1.891
"1970-04-01 21:36:00",56.4,1.746
"1970-04-01 21:45:00",57.2,1.474
"1970-04-01 21:54:00",58,1.201
"1970-04-01 22:03:00",58.4,0.927
"1970-04-01 22:12:00",58.4,0.524
"1970-04-01 22:21:00",58.1,0.04
"1970-04-01 22:30:00",57.7,0.788
"1970-04-01 22:39:00",57,0.943
"1970-04-01 22:48:00",56,0.93
"1970-04-01 22:57:00",54.7,1.006
"1970-04-01 23:06:00",53.2,1.137
"1970-04-01 23:15:00",52.1,1.198
"1970-04-01 23:24:00",51.6,1.054
"1970-04-01 23:33:00",51,0.595
"1970-04-01 23:42:00",50.5,0.08
"1970-04-01 23:51:00",50.4,0.314
"1970-04-02 00:00:00",51,0.288
"1970-04-02 00:09:00",51.8,0.153
"1970-04-02 00:18:00",52.4,0.109
"1970-04-02 00:27:00",53,0.187
"1970-04-02 00:36:00",53.4,0.255
"1970-04-02 00:45:00",53.6,0.229
"1970-04-02 00:54:00",53.7,0.007
"1970-04-02 01:03:00",53.8,0.254
"1970-04-02 01:12:00",53.8,0.33
"1970-04-02 01:21:00",53.8,0.102
"1970-04-02 01:30:00",53.3,0.423
"1970-04-02 01:39:00",53,1.139
"1970-04-02 01:48:00",52.9,2.275
"1970-04-02 01:57:00",53.4,2.594
"1970-04-02 02:06:00",54.6,2.716
"1970-04-02 02:15:00",56.4,2.51
"1970-04-02 02:24:00",58,1.79
"1970-04-02 02:33:00",59.4,1.346
"1970-04-02 02:42:00",60.2,1.081
"1970-04-02 02:51:00",60,0.91
"1970-04-02 03:00:00",59.4,0.876
"1970-04-02 03:09:00",58.4,0.885
"1970-04-02 03:18:00",57.6,0.8
"1970-04-02 03:27:00",56.9,0.544
"1970-04-02 03:36:00",56.4,0.416
"1970-04-02 03:45:00",56,0.271
"1970-04-02 03:54:00",55.7,0
"1970-04-02 04:03:00",55.3,0.403
"1970-04-02 04:12:00",55,0.841
"1970-04-02 04:21:00",54.4,1.285
"1970-04-02 04:30:00",53.7,1.607
"1970-04-02 04:39:00",52.8,1.746
"1970-04-02 04:48:00",51.6,1.683
"1970-04-02 04:57:00",50.6,1.485
"1970-04-02 05:06:00",49.4,0.993
"1970-04-02 05:15:00",48.8,0.648
"1970-04-02 05:24:00",48.5,0.577
"1970-04-02 05:33:00",48.7,0.577
"1970-04-02 05:42:00",49.2,0.632
"1970-04-02 05:51:00",49.8,0.747
"1970-04-02 06:00:00",50.4,0.9
"1970-04-02 06:09:00",50.7,0.993
"1970-04-02 06:18:00",50.9,0.968
"1970-04-02 06:27:00",50.7,0.79
"1970-04-02 06:36:00",50.5,0.399
"1970-04-02 06:45:00",50.4,0.161
"1970-04-02 06:54:00",50.2,0.553
"1970-04-02 07:03:00",50.4,0.603
"1970-04-02 07:12:00",51.2,0.424
"1970-04-02 07:21:00",52.3,0.194
"1970-04-02 07:30:00",53.2,0.049
"1970-04-02 07:39:00",53.9,0.06
"1970-04-02 07:48:00",54.1,0.161
"1970-04-02 07:57:00",54,0.301
"1970-04-02 08:06:00",53.6,0.517
"1970-04-02 08:15:00",53.2,0.566
"1970-04-02 08:24:00",53,0.56
"1970-04-02 08:33:00",52.8,0.573
"1970-04-02 08:42:00",52.3,0.592
"1970-04-02 08:51:00",51.9,0.671
"1970-04-02 09:00:00",51.6,0.933
"1970-04-02 09:09:00",51.6,1.337
"1970-04-02 09:18:00",51.4,1.46
"1970-04-02 09:27:00",51.2,1.353
"1970-04-02 09:36:00",50.7,0.772
"1970-04-02 09:45:00",50,0.218
"1970-04-02 09:54:00",49.4,0.237
"1970-04-02 10:03:00",49.3,0.714
"1970-04-02 10:12:00",49.7,1.099
"1970-04-02 10:21:00",50.6,1.269
"1970-04-02 10:30:00",51.8,1.175
"1970-04-02 10:39:00",53,0.676
"1970-04-02 10:48:00",54,0.033
"1970-04-02 10:57:00",55.3,0.556
"1970-04-02 11:06:00",55.9,0.643
"1970-04-02 11:15:00",55.9,0.484
"1970-04-02 11:24:00",54.6,0.109
"1970-04-02 11:33:00",53.5,0.31
"1970-04-02 11:42:00",52.4,0.697
"1970-04-02 11:51:00",52.1,1.047
"1970-04-02 12:00:00",52.3,1.218
"1970-04-02 12:09:00",53,1.183
"1970-04-02 12:18:00",53.8,0.873
"1970-04-02 12:27:00",54.6,0.336
"1970-04-02 12:36:00",55.4,0.063
"1970-04-02 12:45:00",55.9,0.084
"1970-04-02 12:54:00",55.9,0
"1970-04-02 13:03:00",55.2,0.001
"1970-04-02 13:12:00",54.4,0.209
"1970-04-02 13:21:00",53.7,0.556
"1970-04-02 13:30:00",53.6,0.782
"1970-04-02 13:39:00",53.6,0.858
"1970-04-02 13:48:00",53.2,0.918
"1970-04-02 13:57:00",52.5,0.862
"1970-04-02 14:06:00",52,0.416
"1970-04-02 14:15:00",51.4,0.336
"1970-04-02 14:24:00",51,0.959
"1970-04-02 14:33:00",50.9,1.813
"1970-04-02 14:42:00",52.4,2.378
"1970-04-02 14:51:00",53.5,2.499
"1970-04-02 15:00:00",55.6,2.473
"1970-04-02 15:09:00",58,2.33
"1970-04-02 15:18:00",59.5,2.053
"1970-04-02 15:27:00",60,1.739
"1970-04-02 15:36:00",60.4,1.261
"1970-04-02 15:45:00",60.5,0.569
"1970-04-02 15:54:00",60.2,0.137
"1970-04-02 16:03:00",59.7,0.024
"1970-04-02 16:12:00",59,0.05
"1970-04-02 16:21:00",57.6,0.135
"1970-04-02 16:30:00",56.4,0.276
"1970-04-02 16:39:00",55.2,0.534
"1970-04-02 16:48:00",54.5,0.871
"1970-04-02 16:57:00",54.1,1.243
"1970-04-02 17:06:00",54.1,1.439
"1970-04-02 17:15:00",54.4,1.422
"1970-04-02 17:24:00",55.5,1.175
"1970-04-02 17:33:00",56.2,0.813
"1970-04-02 17:42:00",57,0.634
"1970-04-02 17:51:00",57.3,0.582
"1970-04-02 18:00:00",57.4,0.625
"1970-04-02 18:09:00",57,0.713
