"Month","Monthly riverflow in cms, Neches River at rockland, Texas, 1914 - 1960"
"1914-01",42.220
"1914-02",12.941
"1914-03",117.996
"1914-04",64.817
"1914-05",40.238
"1914-06",121.932
"1914-07",173.950
"1914-08",297.044
"1914-09",141.244
"1914-10",15.546
"1914-11",17.726
"1914-12",13.422
"1915-01",7.108
"1915-02",29.789
"1915-03",96.136
"1915-04",93.842
"1915-05",123.546
"1915-06",103.696
"1915-07",78.211
"1915-08",203.513
"1915-09",14.413
"1915-10",19.255
"1915-11",101.657
"1915-12",21.634
"1916-01",10.449
"1916-02",30.894
"1916-03",47.346
"1916-04",104.348
"1916-05",71.245
"1916-06",36.331
"1916-07",49.243
"1916-08",284.301
"1916-09",61.136
"1916-10",21.974
"1916-11",12.686
"1916-12",7.929
"1917-01",6.173
"1917-02",12.120
"1917-03",23.078
"1917-04",19.001
"1917-05",35.594
"1917-06",16.027
"1917-07",26.561
"1917-08",20.983
"1917-09",17.358
"1917-10",9.684
"1917-11",6.711
"1917-12",3.993
"1918-01",3.200
"1918-02",3.087
"1918-03",12.884
"1918-04",7.787
"1918-05",12.346
"1918-06",10.251
"1918-07",26.193
"1918-08",35.877
"1918-09",8.665
"1918-10",4.389
"1918-11",5.210
"1918-12",4.219
"1919-01",3.879
"1919-02",28.204
"1919-03",32.593
"1919-04",100.893
"1919-05",136.289
"1919-06",83.053
"1919-07",73.341
"1919-08",92.341
"1919-09",104.263
"1919-10",155.063
"1919-11",18.293
"1919-12",10.251
"1920-01",83.082
"1920-02",197.708
"1920-03",120.233
"1920-04",276.769
"1920-05",197.538
"1920-06",106.443
"1920-07",57.540
"1920-08",31.800
"1920-09",24.041
"1920-10",6.315
"1920-11",23.899
"1920-12",19.340
"1921-01",6.315
"1921-02",26.420
"1921-03",65.469
"1921-04",139.970
"1921-05",91.747
"1921-06",126.265
"1921-07",278.836
"1921-08",214.160
"1921-09",39.021
"1921-10",185.192
"1921-11",9.769
"1921-12",5.663
"1922-01",2.767
"1922-02",3.483
"1922-03",10.251
"1922-04",30.412
"1922-05",100.695
"1922-06",233.303
"1922-07",526.977
"1922-08",418.240
"1922-09",64.308
"1922-10",16.679
"1922-11",8.382
"1922-12",2.662
"1923-01",1.351
"1923-02",12.459
"1923-03",10.279
"1923-04",33.555
"1923-05",144.303
"1923-06",188.477
"1923-07",399.551
"1923-08",135.836
"1923-09",20.190
"1923-10",6.230
"1923-11",1.560
"1923-12",15.093
"1924-01",11.327
"1924-02",26.476
"1924-03",263.913
"1924-04",190.516
"1924-05",180.039
"1924-06",271.134
"1924-07",134.647
"1924-08",122.527
"1924-09",210.026
"1924-10",8.863
"1924-11",1.860
"1924-12",1.674
"1925-01",2.526
"1925-02",2.090
"1925-03",5.862
"1925-04",24.777
"1925-05",15.376
"1925-06",10.902
"1925-07",6.598
"1925-08",5.692
"1925-09",2.149
"1925-10",0.813
"1925-11",0.279
"1925-12",0.445
"1926-01",35.764
"1926-02",226.563
"1926-03",33.386
"1926-04",115.278
"1926-05",46.496
"1926-06",172.025
"1926-07",276.004
"1926-08",128.615
"1926-09",73.794
"1926-10",46.270
"1926-11",23.107
"1926-12",6.513
"1927-01",4.531
"1927-02",11.723
"1927-03",76.144
"1927-04",136.969
"1927-05",121.224
"1927-06",232.849
"1927-07",221.041
"1927-08",116.920
"1927-09",47.374
"1927-10",46.411
"1927-11",9.373
"1927-12",1.897
"1928-01",8.127
"1928-02",6.711
"1928-03",16.990
"1928-04",18.831
"1928-05",21.634
"1928-06",82.629
"1928-07",59.465
"1928-08",28.204
"1928-09",27.609
"1928-10",10.704
"1928-11",6.626
"1928-12",1.365
"1929-01",1.127
"1929-02",9.656
"1929-03",19.878
"1929-04",63.118
"1929-05",78.806
"1929-06",85.885
"1929-07",56.322
"1929-08",267.764
"1929-09",263.347
"1929-10",19.142
"1929-11",2.699
"1929-12",2.682
"1930-01",1.314
"1930-02",19.935
"1930-03",24.891
"1930-04",110.238
"1930-05",165.087
"1930-06",90.614
"1930-07",44.288
"1930-08",83.308
"1930-09",98.797
"1930-10",4.332
"1930-11",1.657
"1930-12",3.341
"1931-01",26.221
"1931-02",19.482
"1931-03",105.990
"1931-04",119.412
"1931-05",129.436
"1931-06",118.223
"1931-07",68.810
"1931-08",93.729
"1931-09",10.647
"1931-10",4.304
"1931-11",3.596
"1931-12",1.852
"1932-01",0.402
"1932-02",5.012
"1932-03",95.711
"1932-04",330.458
"1932-05",395.586
"1932-06",236.842
"1932-07",74.615
"1932-08",38.822
"1932-09",14.640
"1932-10",7.362
"1932-11",2.789
"1932-12",4.984
"1933-01",2.724
"1933-02",3.200
"1933-03",23.333
"1933-04",69.263
"1933-05",133.372
"1933-06",144.812
"1933-07",136.119
"1933-08",70.339
"1933-09",27.949
"1933-10",32.961
"1933-11",7.929
"1933-12",9.684
"1934-01",2.430
"1934-02",3.370
"1934-03",8.722
"1934-04",96.589
"1934-05",156.734
"1934-06",204.674
"1934-07",199.322
"1934-08",54.453
"1934-09",7.277
"1934-10",1.756
"1934-11",0.685
"1934-12",0.841
"1935-01",1.705
"1935-02",12.261
"1935-03",76.087
"1935-04",83.110
"1935-05",88.717
"1935-06",77.362
"1935-07",82.204
"1935-08",571.151
"1935-09",141.669
"1935-10",22.625
"1935-11",8.325
"1935-12",9.033
"1936-01",4.729
"1936-02",29.648
"1936-03",127.511
"1936-04",47.374
"1936-05",36.585
"1936-06",33.414
"1936-07",17.670
"1936-08",49.979
"1936-09",45.845
"1936-10",80.930
"1936-11",7.334
"1936-12",3.710
"1937-01",2.379
"1937-02",5.324
"1937-03",24.409
"1937-04",138.243
"1937-05",90.756
"1937-06",79.854
"1937-07",73.142
"1937-08",11.185
"1937-09",6.485
"1937-10",2.299
"1937-11",1.280
"1937-12",3.823
"1938-01",6.145
"1938-02",16.820
"1938-03",45.505
"1938-04",96.560
"1938-05",95.768
"1938-06",86.508
"1938-07",207.166
"1938-08",80.193
"1938-09",13.366
"1938-10",6.371
"1938-11",5.522
"1938-12",1.354
"1939-01",0.668
"1939-02",4.049
"1939-03",7.844
"1939-04",73.822
"1939-05",123.207
"1939-06",108.595
"1939-07",40.521
"1939-08",19.907
"1939-09",22.880
"1939-10",3.993
"1939-11",1.515
"1939-12",0.609
"1940-01",0.459
"1940-02",1.591
"1940-03",56.181
"1940-04",37.208
"1940-05",149.853
"1940-06",20.870
"1940-07",62.977
"1940-08",60.456
"1940-09",73.312
"1940-10",43.721
"1940-11",6.400
"1940-12",6.824
"1941-01",2.455
"1941-02",127.624
"1941-03",412.293
"1941-04",235.256
"1941-05",159.565
"1941-06",221.608
"1941-07",100.327
"1941-08",132.268
"1941-09",152.741
"1941-10",100.213
"1941-11",10.732
"1941-12",21.181
"1942-01",50.885
"1942-02",237.437
"1942-03",96.504
"1942-04",78.466
"1942-05",79.259
"1942-06",91.917
"1942-07",180.067
"1942-08",166.248
"1942-09",103.555
"1942-10",38.058
"1942-11",38.992
"1942-12",25.485
"1943-01",8.693
"1943-02",15.376
"1943-03",19.284
"1943-04",92.964
"1943-05",38.341
"1943-06",30.809
"1943-07",35.226
"1943-08",30.384
"1943-09",52.783
"1943-10",18.491
"1943-11",7.844
"1943-12",1.628
"1944-01",7.532
"1944-02",16.452
"1944-03",18.123
"1944-04",109.530
"1944-05",168.089
"1944-06",195.698
"1944-07",141.244
"1944-08",677.622
"1944-09",141.641
"1944-10",10.704
"1944-11",3.738
"1944-12",18.293
"1945-01",3.936
"1945-02",19.171
"1945-03",126.067
"1945-04",317.149
"1945-05",199.889
"1945-06",198.813
"1945-07",520.464
"1945-08",101.006
"1945-09",29.591
"1945-10",50.008
"1945-11",30.582
"1945-12",7.957
"1946-01",53.462
"1946-02",39.757
"1946-03",62.439
"1946-04",203.881
"1946-05",398.984
"1946-06",244.969
"1946-07",160.302
"1946-08",193.914
"1946-09",218.380
"1946-10",53.915
"1946-11",11.893
"1946-12",39.219
"1947-01",27.411
"1947-02",268.812
"1947-03",158.744
"1947-04",298.743
"1947-05",114.938
"1947-06",237.805
"1947-07",115.335
"1947-08",172.818
"1947-09",101.063
"1947-10",21.747
"1947-11",4.616
"1947-12",4.078
"1948-01",3.908
"1948-02",12.176
"1948-03",42.277
"1948-04",49.130
"1948-05",157.753
"1948-06",122.074
"1948-07",96.844
"1948-08",57.710
"1948-09",37.095
"1948-10",8.240
"1948-11",1.892
"1948-12",1.693
"1949-01",1.065
"1949-02",7.759
"1949-03",10.591
"1949-04",52.924
"1949-05",100.978
"1949-06",150.589
"1949-07",123.546
"1949-08",64.534
"1949-09",23.192
"1949-10",6.173
"1949-11",7.617
"1949-12",6.116
"1950-01",64.789
"1950-02",42.787
"1950-03",95.824
"1950-04",235.171
"1950-05",278.185
"1950-06",147.389
"1950-07",50.262
"1950-08",157.498
"1950-09",236.701
"1950-10",18.151
"1950-11",6.400
"1950-12",5.352
"1951-01",5.295
"1951-02",5.578
"1951-03",8.693
"1951-04",13.705
"1951-05",23.758
"1951-06",43.580
"1951-07",46.893
"1951-08",17.641
"1951-09",11.497
"1951-10",5.975
"1951-11",1.161
"1951-12",2.144
"1952-01",2.478
"1952-02",3.766
"1952-03",10.506
"1952-04",13.507
"1952-05",39.700
"1952-06",74.332
"1952-07",94.777
"1952-08",130.682
"1952-09",43.608
"1952-10",4.304
"1952-11",1.637
"1952-12",0.439
"1953-01",0.274
"1953-02",3.596
"1953-03",21.577
"1953-04",37.661
"1953-05",59.069
"1953-06",122.244
"1953-07",86.763
"1953-08",497.527
"1953-09",91.690
"1953-10",18.066
"1953-11",5.833
"1953-12",4.644
"1954-01",1.422
"1954-02",4.134
"1954-03",30.242
"1954-04",35.906
"1954-05",26.561
"1954-06",18.349
"1954-07",26.561
"1954-08",78.126
"1954-09",28.458
"1954-10",1.657
"1954-11",0.699
"1954-12",0.230
"1955-01",0.521
"1955-02",22.682
"1955-03",22.710
"1955-04",30.497
"1955-05",92.908
"1955-06",55.161
"1955-07",151.042
"1955-08",43.325
"1955-09",31.885
"1955-10",4.814
"1955-11",5.012
"1955-12",2.744
"1956-01",3.879
"1956-02",1.271
"1956-03",4.163
"1956-04",7.136
"1956-05",38.851
"1956-06",17.047
"1956-07",34.037
"1956-08",42.220
"1956-09",7.277
"1956-10",1.334
"1956-11",0.311
"1956-12",0.142
"1957-01",0.096
"1957-02",0.804
"1957-03",1.702
"1957-04",2.973
"1957-05",9.656
"1957-06",30.865
"1957-07",64.846
"1957-08",402.949
"1957-09",114.145
"1957-10",18.236
"1957-11",8.976
"1957-12",3.653
"1958-01",70.254
"1958-02",221.126
"1958-03",140.367
"1958-04",181.964
"1958-05",112.333
"1958-06",75.181
"1958-07",47.997
"1958-08",194.565
"1958-09",21.124
"1958-10",24.607
"1958-11",5.805
"1958-12",46.128
"1959-01",43.608
"1959-02",13.507
"1959-03",18.264
"1959-04",16.424
"1959-05",65.299
"1959-06",57.313
"1959-07",135.694
"1959-08",128.898
"1959-09",97.353
"1959-10",33.471
"1959-11",26.788
"1959-12",6.598
"1960-01",13.989
"1960-02",27.581
"1960-03",64.562
"1960-04",126.237
"1960-05",142.207
"1960-06",145.803
"1960-07",43.693
"1960-08",36.019
"1960-09",25.089
"1960-10",23.078
"1960-11",12.686
"1960-12",6.201

Monthly riverflow in cms, Neches River at rockland, Texas, 1914 - 1960

