"Date","Mean daily flow, Oldman Rivernear Brocket, Jan 01, 1988 to Dec 31, 1991"
"1988-01-01",5.2
"1988-01-02",4.9
"1988-01-03",4.55
"1988-01-04",3.95
"1988-01-05",3.91
"1988-01-06",3.73
"1988-01-07",3.77
"1988-01-08",3.78
"1988-01-09",3.59
"1988-01-10",3.49
"1988-01-11",3.5
"1988-01-12",3.7
"1988-01-13",3.78
"1988-01-14",4.2
"1988-01-15",4.45
"1988-01-16",4.5
"1988-01-17",4.47
"1988-01-18",4.43
"1988-01-19",4.35
"1988-01-20",4.31
"1988-01-21",4.04
"1988-01-22",4.44
"1988-01-23",4.47
"1988-01-24",4.1
"1988-01-25",3.9
"1988-01-26",3.95
"1988-01-27",4.08
"1988-01-28",4.34
"1988-01-29",4.15
"1988-01-30",3.8
"1988-01-31",3
"1988-02-01",2.1
"1988-02-02",2.1
"1988-02-03",2.15
"1988-02-04",2.2
"1988-02-05",2.38
"1988-02-06",2.6
"1988-02-07",2.8
"1988-02-08",3.5
"1988-02-09",3.79
"1988-02-10",4
"1988-02-11",4.15
"1988-02-12",4.45
"1988-02-13",4.8
"1988-02-14",4.75
"1988-02-15",4.6
"1988-02-16",4.8
"1988-02-17",5
"1988-02-18",5.2
"1988-02-19",5.5
"1988-02-20",5.8
"1988-02-21",5.7
"1988-02-22",5.6
"1988-02-23",5.4
"1988-02-24",5.34
"1988-02-25",5.76
"1988-02-26",5.9
"1988-02-27",6.1
"1988-02-28",6.21
"1988-02-29",5.85
"1988-03-01",5.8
"1988-03-02",5.75
"1988-03-03",6.21
"1988-03-04",6.3
"1988-03-05",6.14
"1988-03-06",5.79
"1988-03-07",5.81
"1988-03-08",5.71
"1988-03-09",6.96
"1988-03-10",7.13
"1988-03-11",6.55
"1988-03-12",6.16
"1988-03-13",6.37
"1988-03-14",6.58
"1988-03-15",5.7
"1988-03-16",5.46
"1988-03-17",5.22
"1988-03-18",5.7
"1988-03-19",6.63
"1988-03-20",7.08
"1988-03-21",8.03
"1988-03-22",8.02
"1988-03-23",7.28
"1988-03-24",6.7
"1988-03-25",6.07
"1988-03-26",6.21
"1988-03-27",7.4
"1988-03-28",7.87
"1988-03-29",6.95
"1988-03-30",6.22
"1988-03-31",6.24
"1988-04-01",6.61
"1988-04-02",8.07
"1988-04-03",11.2
"1988-04-04",12.7
"1988-04-05",10.6
"1988-04-06",10.1
"1988-04-07",17
"1988-04-08",19.1
"1988-04-09",15.2
"1988-04-10",14
"1988-04-11",14
"1988-04-12",16.9
"1988-04-13",19.7
"1988-04-14",21.5
"1988-04-15",25.7
"1988-04-16",34.6
"1988-04-17",42.9
"1988-04-18",47.8
"1988-04-19",50.6
"1988-04-20",49.6
"1988-04-21",45.4
"1988-04-22",41.1
"1988-04-23",36.6
"1988-04-24",35.9
"1988-04-25",34.1
"1988-04-26",29.8
"1988-04-27",28.5
"1988-04-28",28.7
"1988-04-29",31.7
"1988-04-30",38.3
"1988-05-01",37.8
"1988-05-02",34.7
"1988-05-03",31.7
"1988-05-04",31.5
"1988-05-05",35.2
"1988-05-06",41
"1988-05-07",46.1
"1988-05-08",47.7
"1988-05-09",54.4
"1988-05-10",66.7
"1988-05-11",85
"1988-05-12",102
"1988-05-13",122
"1988-05-14",115
"1988-05-15",96.4
"1988-05-16",85.5
"1988-05-17",90.8
"1988-05-18",89.4
"1988-05-19",78.1
"1988-05-20",70
"1988-05-21",65.4
"1988-05-22",66.3
"1988-05-23",76.2
"1988-05-24",89.5
"1988-05-25",84.6
"1988-05-26",76.8
"1988-05-27",77.1
"1988-05-28",76
"1988-05-29",81
"1988-05-30",83
"1988-05-31",91.3
"1988-06-01",86.2
"1988-06-02",76.6
"1988-06-03",68.9
"1988-06-04",69.1
"1988-06-05",76.7
"1988-06-06",83.3
"1988-06-07",92.4
"1988-06-08",125
"1988-06-09",120
"1988-06-10",103
"1988-06-11",94.5
"1988-06-12",85.4
"1988-06-13",78.1
"1988-06-14",70.9
"1988-06-15",65.6
"1988-06-16",62.7
"1988-06-17",62.4
"1988-06-18",61.7
"1988-06-19",59.1
"1988-06-20",55
"1988-06-21",51.1
"1988-06-22",48.3
"1988-06-23",45.5
"1988-06-24",43.2
"1988-06-25",40.6
"1988-06-26",38
"1988-06-27",36
"1988-06-28",35.1
"1988-06-29",36.1
"1988-06-30",32.4
"1988-07-01",29.3
"1988-07-02",27.1
"1988-07-03",26
"1988-07-04",25.5
"1988-07-05",26.2
"1988-07-06",27.8
"1988-07-07",25.5
"1988-07-08",22.9
"1988-07-09",21.2
"1988-07-10",20.2
"1988-07-11",19.9
"1988-07-12",19.9
"1988-07-13",18.6
"1988-07-14",17.8
"1988-07-15",17.1
"1988-07-16",16.7
"1988-07-17",16.3
"1988-07-18",15.8
"1988-07-19",15.6
"1988-07-20",14.6
"1988-07-21",13.8
"1988-07-22",12.9
"1988-07-23",12.6
"1988-07-24",12.5
"1988-07-25",12.1
"1988-07-26",11.6
"1988-07-27",11.3
"1988-07-28",11.1
"1988-07-29",10.9
"1988-07-30",10.6
"1988-07-31",10.3
"1988-08-01",11.2
"1988-08-02",16.1
"1988-08-03",16.6
"1988-08-04",14.5
"1988-08-05",13.1
"1988-08-06",12.3
"1988-08-07",12.2
"1988-08-08",12.7
"1988-08-09",12
"1988-08-10",11.1
"1988-08-11",10.8
"1988-08-12",10.7
"1988-08-13",10.6
"1988-08-14",10.1
"1988-08-15",9.91
"1988-08-16",10.6
"1988-08-17",9.96
"1988-08-18",10
"1988-08-19",9.45
"1988-08-20",9.43
"1988-08-21",9.85
"1988-08-22",9.62
"1988-08-23",8.96
"1988-08-24",8.55
"1988-08-25",8.29
"1988-08-26",9.08
"1988-08-27",10.3
"1988-08-28",9.4
"1988-08-29",8.66
"1988-08-30",7.91
"1988-08-31",7.48
"1988-09-01",7.44
"1988-09-02",7.32
"1988-09-03",7.16
"1988-09-04",7.01
"1988-09-05",7.11
"1988-09-06",7
"1988-09-07",6.45
"1988-09-08",6.35
"1988-09-09",6.53
"1988-09-10",6.51
"1988-09-11",7.31
"1988-09-12",7.52
"1988-09-13",7.01
"1988-09-14",6.7
"1988-09-15",6.38
"1988-09-16",6.19
"1988-09-17",6.84
"1988-09-18",7.87
"1988-09-19",7.58
"1988-09-20",7.9
"1988-09-21",7.68
"1988-09-22",7.23
"1988-09-23",6.94
"1988-09-24",7.52
"1988-09-25",9.02
"1988-09-26",10.3
"1988-09-27",12.6
"1988-09-28",11.1
"1988-09-29",10.8
"1988-09-30",10.7
"1988-10-01",11.2
"1988-10-02",11.3
"1988-10-03",11.2
"1988-10-04",11.2
"1988-10-05",10.7
"1988-10-06",10.8
"1988-10-07",10
"1988-10-08",9.7
"1988-10-09",9.56
"1988-10-10",9.41
"1988-10-11",9.02
"1988-10-12",8.98
"1988-10-13",8.69
"1988-10-14",8.16
"1988-10-15",8.35
"1988-10-16",8.83
"1988-10-17",11.3
"1988-10-18",12.2
"1988-10-19",11.1
"1988-10-20",10.4
"1988-10-21",10.1
"1988-10-22",10.1
"1988-10-23",9.92
"1988-10-24",9.67
"1988-10-25",9.39
"1988-10-26",9.41
"1988-10-27",10.3
"1988-10-28",9.01
"1988-10-29",7.32
"1988-10-30",8.63
"1988-10-31",9.57
"1988-11-01",9.06
"1988-11-02",9.19
"1988-11-03",10
"1988-11-04",10.1
"1988-11-05",9.85
"1988-11-06",9.59
"1988-11-07",13.3
"1988-11-08",13
"1988-11-09",11.1
"1988-11-10",10.8
"1988-11-11",11.3
"1988-11-12",11.4
"1988-11-13",10.6
"1988-11-14",10.7
"1988-11-15",8.61
"1988-11-16",8.79
"1988-11-17",8.95
"1988-11-18",9.45
"1988-11-19",9.14
"1988-11-20",9.72
"1988-11-21",9.21
"1988-11-22",10.9
"1988-11-23",10.5
"1988-11-24",6.84
"1988-11-25",6.19
"1988-11-26",5.52
"1988-11-27",3.11
"1988-11-28",4.87
"1988-11-29",8.01
"1988-11-30",10.2
"1988-12-01",12
"1988-12-02",11.8
"1988-12-03",11
"1988-12-04",10.8
"1988-12-05",9.51
"1988-12-06",8.77
"1988-12-07",7.66
"1988-12-08",5.79
"1988-12-09",5.87
"1988-12-10",8.2
"1988-12-11",8.06
"1988-12-12",9.41
"1988-12-13",9.25
"1988-12-14",8.54
"1988-12-15",5.93
"1988-12-16",3.85
"1988-12-17",4.61
"1988-12-18",6.96
"1988-12-19",9.12
"1988-12-20",6.48
"1988-12-21",6.25
"1988-12-22",6.2
"1988-12-23",4.87
"1988-12-24",4.78
"1988-12-25",4.82
"1988-12-26",4.95
"1988-12-27",5.2
"1988-12-28",6.1
"1988-12-29",6.32
"1988-12-30",6.51
"1988-12-31",6.39
"1989-01-01",6
"1989-01-02",5.9
"1989-01-03",5.7
"1989-01-04",5.5
"1989-01-05",5.39
"1989-01-06",5.1
"1989-01-07",4.9
"1989-01-08",4.75
"1989-01-09",4.6
"1989-01-10",4.65
"1989-01-11",4.73
"1989-01-12",4.78
"1989-01-13",4.8
"1989-01-14",4.8
"1989-01-15",4.8
"1989-01-16",4.83
"1989-01-17",4.9
"1989-01-18",4.93
"1989-01-19",5.05
"1989-01-20",5
"1989-01-21",4.9
"1989-01-22",4.7
"1989-01-23",4.4
"1989-01-24",4.2
"1989-01-25",4.18
"1989-01-26",4.2
"1989-01-27",4.32
"1989-01-28",4.45
"1989-01-29",4.5
"1989-01-30",4.4
"1989-01-31",4.1
"1989-02-01",3.8
"1989-02-02",3.55
"1989-02-03",3.44
"1989-02-04",3.5
"1989-02-05",3.55
"1989-02-06",3.63
"1989-02-07",3.75
"1989-02-08",3.9
"1989-02-09",4.1
"1989-02-10",4.23
"1989-02-11",4.33
"1989-02-12",4.4
"1989-02-13",4.44
"1989-02-14",4.42
"1989-02-15",4.4
"1989-02-16",4.35
"1989-02-17",4.3
"1989-02-18",4.28
"1989-02-19",4.3
"1989-02-20",4.34
"1989-02-21",4.4
"1989-02-22",4.44
"1989-02-23",4.46
"1989-02-24",4.42
"1989-02-25",4.36
"1989-02-26",4.24
"1989-02-27",4.14
"1989-02-28",4.02
"1989-03-01",3.85
"1989-03-02",3.8
"1989-03-03",3.8
"1989-03-04",3.82
"1989-03-05",3.95
"1989-03-06",4.2
"1989-03-07",4.5
"1989-03-08",4.68
"1989-03-09",4.78
"1989-03-10",4.85
"1989-03-11",4.84
"1989-03-12",4.8
"1989-03-13",4.79
"1989-03-14",4.8
"1989-03-15",4.85
"1989-03-16",4.95
"1989-03-17",5.1
"1989-03-18",5.4
"1989-03-19",5.9
"1989-03-20",6.48
"1989-03-21",7.1
"1989-03-22",7.6
"1989-03-23",8.3
"1989-03-24",9.1
"1989-03-25",10.2
"1989-03-26",11.4
"1989-03-27",13
"1989-03-28",14.8
"1989-03-29",14.5
"1989-03-30",12.4
"1989-03-31",12
"1989-04-01",10.2
"1989-04-02",9.34
"1989-04-03",8.67
"1989-04-04",8.56
"1989-04-05",9.42
