ixDay,Date,Weekday,,SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
1,1/3/2000,Monday,1,148.25,148.25,143.88,145.44,8164300,110.33
2,1/4/2000,Tuesday,2,143.53,144.06,139.64,139.75,8089800,106.01
3,1/5/2000,Wednesday,3,139.94,141.53,137.25,140,12177900,106.2
4,1/6/2000,Thursday,4,139.62,141.5,137.75,137.75,6227200,104.5
5,1/7/2000,Friday,5,140.31,145.75,140.06,145.75,8066500,110.57
6,1/10/2000,Monday,6,146.25,146.91,145.03,146.25,5741700,110.94
7,1/11/2000,Tuesday,7,145.81,146.09,143.5,144.5,7503700,109.62
8,1/12/2000,Wednesday,8,144.59,144.59,142.88,143.06,6907700,108.53
9,1/13/2000,Thursday,9,144.47,145.75,143.28,145,5158300,110
10,1/14/2000,Friday,10,146.53,147.47,145.97,146.97,7437300,111.49
11,1/18/2000,Tuesday,11,145.34,146.62,145.19,145.81,6488500,110.61
12,1/19/2000,Wednesday,12,145.31,147,145,147,6157900,111.51
13,1/20/2000,Thursday,13,146.97,146.97,143.81,144.75,5800100,109.81
14,1/21/2000,Friday,14,145.5,145.5,144.06,144.44,6244800,109.57
15,1/24/2000,Monday,15,145.66,145.84,139.41,140.34,7896900,106.46
16,1/25/2000,Tuesday,16,140.52,141.94,139,141.94,9942500,107.67
17,1/26/2000,Wednesday,17,141,141.55,140.09,140.81,5158100,106.82
18,1/27/2000,Thursday,18,141.84,142.22,138.12,140.25,10922700,106.39
19,1/28/2000,Friday,19,139.44,140.06,135.53,135.88,11916200,103.07
20,1/31/2000,Monday,20,135.81,139.67,135,139.56,10768700,105.87
21,2/1/2000,Tuesday,21,139.75,141.69,138.53,140.94,8419900,106.91
22,2/2/2000,Wednesday,22,141.28,142.25,140.38,141.06,6205900,107.01
23,2/3/2000,Thursday,23,140.88,143.25,140,143.19,7997500,108.62
24,2/4/2000,Friday,24,143.19,144,142.12,142.59,4925400,108.17
25,2/7/2000,Monday,25,142.56,142.78,141.44,142.38,5845800,108.01
26,2/8/2000,Tuesday,26,143.97,144.56,143.62,144.31,4936400,109.48
27,2/9/2000,Wednesday,27,144.47,144.47,141.27,141.28,8511500,107.18
28,2/10/2000,Thursday,28,141.62,142.56,140.88,141.56,6690600,107.39
29,2/11/2000,Friday,29,141.84,141.94,138.03,138.69,9849800,105.21
30,2/14/2000,Monday,30,139.78,139.78,138.31,139.5,8528800,105.82
31,2/15/2000,Tuesday,31,139.25,141.22,137.8,141.08,11078300,107.02
32,2/16/2000,Wednesday,32,140.38,140.94,138.8,139,8845400,105.45
33,2/17/2000,Thursday,33,140.44,140.44,138.22,138.28,7584200,104.9
34,2/18/2000,Friday,34,138.88,138.88,134.62,135.31,9409200,102.65
35,2/22/2000,Tuesday,35,135.19,136.34,133.53,134.97,16415400,102.39
36,2/23/2000,Wednesday,36,135.62,137.47,134.5,136.56,12119000,103.6
37,2/24/2000,Thursday,37,136.69,137.03,133.09,133.81,17375000,101.51
38,2/25/2000,Friday,38,135.19,136.72,133.12,133.33,10559900,101.14
39,2/28/2000,Monday,39,133.38,136.69,132.72,136.12,13397800,103.26
40,2/29/2000,Tuesday,40,136.06,137.44,135.75,137.44,8242500,104.26
41,3/1/2000,Wednesday,41,137.62,139,137.22,138.44,6868000,105.02
42,3/2/2000,Thursday,42,138.69,139.12,137.34,138.53,7600200,105.09
