Source:  Center for Urban Water Resources Management (CUWRM) and the Center for Streamside Studies (CSS) at the University of Washington in Seattle.,,,,,
Stream,Closed,Canopy,Stream,Open,Canopy
Thornton,22.8,"Closed, full shade",Thornton,17.8,"Open, full sun"
Longfellow,15.6,"Closed, full shade",Thornton,23.3,"Open, full sun"
Longfellow,16.1,"Closed, full shade",Longfellow,14.4,"Open, full sun"
Des Moines,17.5,"Closed, full shade",Longfellow,14.7,"Open, full sun"
Garrison,15,"Closed, full shade",Miller,18,"Open, full sun"
Garrison,14.8,"Closed, full shade",Miller,18,"Open, full sun"
Soos,20.5,"Closed, full shade",Des Moines,18,"Open, full sun"
Soos trib 0095,16,"Closed, full shade",Mc Donald,18,"Open, full sun"
Soos,21,"Closed, full shade",Mc Donald,18.5,"Open, full sun"
Coal,15.5,"Closed, full shade",Springbrook,27.5,"Open, full sun"
Sunset,15.5,"Closed, full shade",Coal,23,"Open, full sun"
Richards,14.9,"Closed, full shade",Coal,23,"Open, full sun"
Richards,15.1,"Closed, full shade",South Prairie,17.5,"Open, full sun"
Richards,16.2,"Closed, full shade",Newaukum,14,"Open, full sun"
Sunset,11.9,"Closed, full shade",Newaukum,13,"Open, full sun"
Valley,17,"Closed, full shade",Spanaway,24,"Open, full sun"
Bear,18,"Closed, full shade",Clover,26.5,"Open, full sun"
Stave,15,"Closed, full shade",Clover,17,"Open, full sun"
Forbes,17,"Closed, full shade",Chambers,15,"Open, full sun"
Juanita,17,"Closed, full shade",Chambers,15.9,"Open, full sun"
Juanita,17.5,"Closed, full shade",Puget,13,"Open, full sun"
Newaukum,15,"Closed, full shade",Artondale,16,"Open, full sun"
Newaukum,13,"Closed, full shade",Artondale,14.4,"Open, full sun"
Newaukum,15,"Closed, full shade",Artondale,15.6,"Open, full sun"
Morey,24,"Closed, full shade",McCormick,14.4,"Open, full sun"
Morey,21,"Closed, full shade",Deer,21,"Open, full sun"
Spanaway,24,"Closed, full shade",Deer,21.5,"Open, full sun"
Morey,24.5,"Closed, full shade",Clarks,13,"Open, full sun"
Clover,20,"Closed, full shade",Clarks,13,"Open, full sun"
Clover,17,"Closed, full shade",Hylebos,15,"Open, full sun"
Clover,20,"Closed, full shade",West Hylebos,16,"Open, full sun"
Swan,14,"Closed, full shade",W. Hylebos,17,"Open, full sun"
Swan,14.5,"Closed, full shade",Hylebos,17,"Open, full sun"
Swan,15,"Closed, full shade",Little Soos,20,"Open, full sun"
Flett,15,"Closed, full shade",Newaukum,16.5,"Open, full sun"
Flett,15.8,"Closed, full shade",Murray,14,"Open, full sun"
Chambers,19.3,"Closed, full shade",Allen,15,"Open, full sun"
Chambers,15.7,"Closed, full shade",North trib,22,"Open, full sun"
Chambers,16.8,"Closed, full shade",Silver,20,"Open, full sun"
Leach,13,"Closed, full shade",Little Bear,22.5,"Open, full sun"
Puget,12.5,"Closed, full shade",LIttle Bear,23,"Open, full sun"
Puget,12.5,"Closed, full shade",Little Bear,16,"Open, full sun"
Puget,12,"Closed, full shade",LIttle Bear,16,"Open, full sun"
Puget,12,"Closed, full shade",Swamp,19,"Open, full sun"
Wollochet,16.5,"Closed, full shade",Swamp,18.5,"Open, full sun"
Crescent,14.4,"Closed, full shade",Lyon,17,"Open, full sun"
Donkey,15.6,"Closed, full shade",Lyon,18,"Open, full sun"
