"Year","Volcanic dust veil index, northern hemisphere, 1500-1969"
"1500",200
"1501",150
"1502",100
"1503",50
"1504",0
"1505",0
"1506",0
"1507",0
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",0
"1514",0
"1515",0
"1516",0
"1517",0
"1518",0
"1519",0
"1520",0
"1521",0
"1522",0
"1523",0
"1524",0
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",0
"1533",0
"1534",0
"1535",50
"1536",50
"1537",50
"1538",0
"1539",0
"1540",0
"1541",0
"1542",0
"1543",0
"1544",0
"1545",0
"1546",0
"1547",0
"1548",0
"1549",0
"1550",0
"1551",0
"1552",0
"1553",100
"1554",500
"1555",350
"1556",200
"1557",100
"1558",0
"1559",0
"1560",0
"1561",0
"1562",0
"1563",0
"1564",0
"1565",0
"1566",0
"1567",0
"1568",0
"1569",0
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",0
"1579",0
"1580",0
"1581",0
"1582",0
"1583",0
"1584",0
"1585",0
"1586",200
"1587",150
"1588",100
"1589",50
"1590",0
"1591",0
"1592",0
"1593",200
"1594",150
"1595",100
"1596",50
"1597",40
"1598",30
"1599",20
"1600",10
"1601",400
"1602",300
"1603",210
"1604",110
"1605",10
"1606",20
"1607",50
"1608",50
"1609",50
"1610",40
"1611",30
"1612",20
"1613",10
"1614",200
"1615",150
"1616",100
"1617",50
"1618",0
"1619",0
"1620",0
"1621",0
"1622",0
"1623",0
"1624",0
"1625",100
"1626",75
"1627",50
"1628",25
"1629",0
"1630",0
"1631",120
"1632",90
"1633",60
"1634",30
"1635",0
"1636",40
"1637",30
"1638",120
"1639",85
"1640",150
"1641",400
"1642",275
"1643",175
"1644",75
"1645",0
"1646",60
"1647",45
"1648",30
"1649",15
"1650",100
"1651",75
"1652",50
"1653",25
"1654",0
"1655",0
"1656",0
"1657",0
"1658",0
"1659",0
"1660",340
"1661",255
"1662",170
"1663",85
"1664",130
"1665",100
"1666",65
"1667",30
"1668",0
"1669",0
"1670",0
"1671",0
"1672",200
"1673",150
"1674",100
"1675",50
"1676",0
"1677",0
"1678",0
"1679",0
"1680",280
"1681",210
"1682",140
"1683",70
"1684",0
"1685",0
"1686",0
"1687",0
"1688",0
"1689",0
"1690",0
"1691",0
"1692",0
"1693",140
"1694",285
"1695",205
"1696",105
"1697",45
"1698",0
"1699",0
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",300
"1708",225
"1709",150
"1710",75
"1711",0
"1712",80
"1713",60
"1714",40
"1715",20
"1716",0
"1717",120
"1718",90
"1719",60
"1720",30
"1721",100
"1722",75
"1723",50
"1724",55
"1725",15
"1726",15
"1727",15
"1728",15
"1729",15
"1730",160
"1731",130
"1732",90
"1733",50
"1734",0
"1735",0
"1736",0
"1737",0
"1738",0
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",60
"1745",45
"1746",30
"1747",15
"1748",0
"1749",0
"1750",0
"1751",0
"1752",200
"1753",150
"1754",160
"1755",255
"1756",150
"1757",95
"1758",40
"1759",80
"1760",110
"1761",77
"1762",45
"1763",13
"1764",0
"1765",0
"1766",0
"1767",0
"1768",0
"1769",0
"1770",0
"1771",0
"1772",50
"1773",37
"1774",25
"1775",13
"1776",0
"1777",0
"1778",0
"1779",180
"1780",135
"1781",90
"1782",45
"1783",400
"1784",300
"1785",200
"1786",160
"1787",45
"1788",30
"1789",15
"1790",0
"1791",0
"1792",0
"1793",0
"1794",0
"1795",120
"1796",130
"1797",90
"1798",50
"1799",130
"1800",90
"1801",60
"1802",30
"1803",0
"1804",0
"1805",0
"1806",0
"1807",0
"1808",0
"1809",0
"1810",0
"1811",80
"1812",180
"1813",170
"1814",170
"1815",695
"1816",490
"1817",375
"1818",195
"1819",30
"1820",15
"1821",0
"1822",200
"1823",150
"1824",100
"1825",70
"1826",80
"1827",65
"1828",50
"1829",75
"1830",50
"1831",200
"1832",130
"1833",80
"1834",40
"1835",525
"1836",450
"1837",375
"1838",300
"1839",225
"1840",150
"1841",75
"1842",0
"1843",0
"1844",0
"1845",100
"1846",205
"1847",140
"1848",90
"1849",30
"1850",0
"1851",0
"1852",0
"1853",0
"1854",0
"1855",0
"1856",140
"1857",105
"1858",70
"1859",35
"1860",0
"1861",160
"1862",120
"1863",80
"1864",40
"1865",0
"1866",0
"1867",0
"1868",160
"1869",120
"1870",80
"1871",40
"1872",0
"1873",0
"1874",0
"1875",120
"1876",90
"1877",60
